date,ticker,market,open,high,low,close,volume,turnover_value
2018-01-02,1101,TWSE,36.45,36.6,36.05,36.55,13698944.0,499370945.0
2018-01-03,1101,TWSE,36.5,37.35,36.25,37.35,19959825.0,737353608.0
2018-01-04,1101,TWSE,37.35,37.45,36.75,37.2,14927721.0,555392977.0
2018-01-05,1101,TWSE,37.5,37.5,37.05,37.3,35536815.0,1325926954.0
2018-01-08,1101,TWSE,37.4,38.3,37.2,38.2,22660681.0,858574153.0
2018-01-09,1101,TWSE,38.1,38.55,37.9,38.3,19053008.0,728607834.0
2018-01-10,1101,TWSE,38.3,38.5,38.0,38.45,11674625.0,447720584.0
2018-01-11,1101,TWSE,38.3,38.35,37.45,37.5,35062055.0,1322632044.0
2018-01-12,1101,TWSE,37.75,37.95,37.35,37.6,18804747.0,707643024.0
2018-01-15,1101,TWSE,37.65,37.85,37.55,37.85,9637157.0,363246276.0
2018-01-16,1101,TWSE,37.95,38.1,37.7,38.1,9338163.0,354474155.0
2018-01-17,1101,TWSE,38.0,38.5,37.9,38.5,12716828.0,487501985.0
2018-01-18,1101,TWSE,38.6,38.65,37.75,37.85,13010910.0,497368272.0
2018-01-19,1101,TWSE,37.95,38.1,37.75,37.9,8346117.0,316437594.0
2018-01-22,1101,TWSE,37.9,37.9,37.55,37.85,8771524.0,330896083.0
2018-01-23,1101,TWSE,37.8,37.8,36.85,37.3,13647470.0,507908931.0
2018-01-24,1101,TWSE,37.45,37.45,36.9,37.3,8517283.0,316930360.0
2018-01-25,1101,TWSE,37.3,37.65,37.25,37.6,6043087.0,226919435.0
2018-01-26,1101,TWSE,37.75,38.2,37.5,38.2,10584133.0,401558643.0
2018-01-29,1101,TWSE,38.3,38.4,37.7,37.95,5861953.0,222753951.0
2018-01-30,1101,TWSE,38.0,38.05,37.7,37.9,5942325.0,224959885.0
2018-01-31,1101,TWSE,37.6,37.9,37.35,37.65,5410009.0,203905328.0
2018-02-05,1101,TWSE,37.1,37.8,37.1,37.8,6630801.0,248021263.0
2018-07-16,1101,TWSE,43.5,43.5,42.4,42.5,17398391.0,747174218.0
2018-07-23,1101,TWSE,42.45,42.8,42.2,42.65,22008374.0,934482174.0
2019-03-04,1101,TWSE,38.4,38.45,38.0,38.2,13222125.0,504795802.0
2019-03-11,1101,TWSE,38.0,38.15,37.85,37.85,10369097.0,393741686.0
2019-04-01,1101,TWSE,41.55,41.8,41.25,41.35,28261025.0,1171619600.0
2019-04-08,1101,TWSE,41.95,42.35,41.95,42.3,28403967.0,1196467996.0
2019-04-15,1101,TWSE,42.2,42.5,42.1,42.5,18197589.0,769350147.0
2019-04-22,1101,TWSE,41.6,41.65,41.0,41.0,30751985.0,1268438905.0
2019-04-29,1101,TWSE,41.9,42.1,41.8,42.1,16073778.0,675143856.0
2019-05-06,1101,TWSE,42.4,42.75,42.2,42.3,26872053.0,1138758372.0
2019-05-13,1101,TWSE,42.7,42.85,42.0,42.0,20079887.0,850099105.0
2019-05-20,1101,TWSE,42.5,42.6,42.2,42.35,16141134.0,684662805.0
2021-05-10,1101,TWSE,52.5,53.3,52.2,52.9,31901563.0,1681573246.0
2021-05-17,1101,TWSE,47.8,49.05,47.5,47.9,52837567.0,2541063222.0
2015-04-27,1102,TWSE,39.6,39.7,39.35,39.65,4113949.0,162902975.0
2015-05-04,1102,TWSE,38.85,38.9,38.7,38.75,2331637.0,90444064.0
2019-04-22,1102,TWSE,41.4,41.4,40.5,40.6,10662696.0,434668590.0
2019-04-29,1102,TWSE,41.05,41.55,41.05,41.5,4543660.0,188333243.0
2021-04-26,1102,TWSE,50.0,51.0,49.9,50.8,14073058.0,709759255.0
2021-05-03,1102,TWSE,49.75,49.95,49.5,49.6,11829848.0,587379311.0
2017-07-24,1210,TWSE,34.2,34.45,33.8,34.15,1412810.0,48144103.0
2017-07-31,1210,TWSE,33.65,33.65,32.65,32.75,3044306.0,100104360.0
2017-01-23,1215,TWSE,46.95,47.05,46.6,47.0,1580874.0,74076398.0
2017-02-02,1215,TWSE,46.6,46.75,46.3,46.6,990918.0,46123114.0
2015-03-02,1216,TWSE,53.0,53.1,52.2,52.4,9213488.0,486169381.0
2015-03-09,1216,TWSE,51.7,52.5,51.5,52.4,4599963.0,239604542.0
2016-02-22,1216,TWSE,57.0,57.1,56.7,56.8,6012084.0,342064833.0
2016-03-01,1216,TWSE,57.2,57.4,56.8,57.2,7286156.0,416490635.0
2016-03-07,1216,TWSE,56.7,57.4,56.5,57.4,7288632.0,414966829.0
2016-04-18,1216,TWSE,58.5,59.1,58.2,59.1,4462497.0,262329963.0
2016-04-25,1216,TWSE,58.4,58.8,57.7,58.8,3069158.0,179575077.0
2016-07-04,1216,TWSE,64.6,65.0,64.2,64.5,4252640.0,274557256.0
2016-07-11,1216,TWSE,64.4,65.1,63.8,65.1,16737522.0,1082466775.0
2018-03-19,1216,TWSE,69.3,69.4,68.7,69.3,3901002.0,269165811.0
2018-03-26,1216,TWSE,68.0,68.0,67.3,68.0,5928576.0,400574168.0
2020-02-17,1216,TWSE,74.2,75.0,74.2,75.0,3687800.0,275841775.0
2020-02-24,1216,TWSE,72.2,73.8,72.2,73.5,18632439.0,1367226036.0
2021-08-30,1216,TWSE,70.6,71.6,70.5,71.6,5240443.0,372928569.0
2021-09-06,1216,TWSE,72.0,72.1,71.4,71.5,2952518.0,211951675.0
2017-06-19,1227,TWSE,79.9,79.9,79.1,79.9,529224.0,42107199.0
2017-06-26,1227,TWSE,81.0,82.0,81.0,81.8,1889805.0,154287963.0
2017-03-01,1262,TWSE,164.0,164.5,162.0,164.5,576050.0,93933725.0
2017-03-06,1262,TWSE,165.0,165.5,163.0,164.0,511140.0,84052170.0
2017-03-13,1262,TWSE,169.5,169.5,166.0,168.0,891110.0,149074535.0
2017-04-05,1262,TWSE,167.0,168.5,165.5,166.5,984554.0,164323964.0
2017-04-10,1262,TWSE,167.5,170.5,167.5,168.5,1617663.0,273129384.0
2015-10-12,1301,TWSE,76.0,78.4,75.4,77.9,15045466.0,1165593890.0
2015-10-19,1301,TWSE,76.1,77.7,76.1,77.0,8613085.0,662921484.0
2015-10-26,1301,TWSE,77.5,78.5,77.4,78.5,13950770.0,1091102168.0
2015-11-02,1301,TWSE,75.0,76.5,74.7,76.5,3691283.0,279649748.0
2018-03-19,1301,TWSE,102.0,103.0,102.0,103.0,2730782.0,280176134.0
2018-03-26,1301,TWSE,104.0,105.0,103.0,103.5,4293123.0,444215711.0
2018-09-17,1301,TWSE,112.0,112.5,111.0,112.5,6728564.0,752788668.0
2018-09-25,1301,TWSE,117.5,119.0,114.5,115.5,16950921.0,1970112834.0
2019-03-11,1301,TWSE,104.0,104.5,103.0,103.0,6338659.0,655823685.0
2019-03-18,1301,TWSE,105.0,106.5,105.0,106.5,6035709.0,638940987.0
2015-02-24,1303,TWSE,69.5,69.6,68.7,69.3,10560158.0,729513202.0
2015-03-02,1303,TWSE,68.8,69.1,68.1,68.2,6259976.0,428898668.0
2017-02-13,1303,TWSE,77.1,78.1,77.1,78.1,8984139.0,699169230.0
2017-02-18,1303,TWSE,77.2,77.2,76.6,76.7,2222289.0,170798712.0
2017-06-12,1303,TWSE,71.9,72.4,71.3,71.3,7101849.0,511048609.0
2017-06-19,1303,TWSE,72.0,72.3,71.8,72.3,5054691.0,364494062.0
2018-01-22,1303,TWSE,81.0,81.1,80.4,80.8,6782642.0,548098069.0
2018-01-29,1303,TWSE,81.7,82.0,81.2,82.0,3567913.0,291433840.0
2018-03-19,1303,TWSE,81.7,82.0,81.1,82.0,4538007.0,370654539.0
