source_id,source_name,source_path_or_url,taxonomy_scope,source_type,source_date_available,effective_date_available,as_of_date_available,accepted_for_diagnostic,accepted_for_formal,decision,notes
twse_mi_index_by_industry,TWSE MI_INDEX by official industry,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date={yyyymmdd}&type={industry_code}&response=json,official_industry_twse_only,official_date_aware_daily_route,true,as_of_trading_date,true,true,false,diagnostic_only_twse_official_industry_proxy,Useful as TWSE-only official industry proxy; not AI/mainline/theme taxonomy and not TPEx.
tpex_statistics_idx,TPEx statistics idx route,https://www.tpex.org.tw/www/zh-tw/statistics/idx,tpex_sector_route_candidate,official_route_probe,partial_response_date_parameter,not_proven,not_proven_for_all_stock_membership,false,false,blocked_index_statistics_not_all_stock_sector_membership,Fetched successfully in prior bounded probe but did not yield accepted membership rows.
tpex_ic_platform,TPEx Industry Chain Information Platform,https://ic.tpex.org.tw/,tpex_industry_chain_current_platform_candidate,official_or_semi_official_platform_probe,not_proven,not_proven,not_proven,false,false,blocked_until_api_static_reverse_finds_dated_membership,Landing page contains industry-chain content but no accepted date-aware historical membership in current evidence.
mops_filings_theme_evidence_ledger,"MOPS annual reports, prospectuses, investor presentations, material information",https://mops.twse.com.tw/,ai_mainline_theme_dated_evidence_candidate,official_document_evidence_candidate,true_if_document_date_or_publish_date_is_captured,manual_or_parser_dependent,true_if_source_date_is_captured,false,false,blocked_pending_dated_evidence_ledger,Next programmatic route: build document locator/parser for dated company evidence; do not infer AI theme from current labels.
sector_map,sector_map.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\sector_map.csv,sector/theme/mainline_candidate,repo_current_or_generated_static_map,false,false,false,false,false,blocked_current_static_or_generated_map_not_pit,Inventory only. Must not be used as historical PIT evidence.
sector_map_generated,sector_map.generated.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\sector_map.generated.csv,sector/theme/mainline_candidate,repo_current_or_generated_static_map,false,false,false,false,false,blocked_current_static_or_generated_map_not_pit,Inventory only. Must not be used as historical PIT evidence.
theme_map,theme_map.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\theme_map.csv,sector/theme/mainline_candidate,repo_current_or_generated_static_map,false,false,false,false,false,blocked_current_static_or_generated_map_not_pit,Inventory only. Must not be used as historical PIT evidence.
theme_history_generated,theme_history.generated.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\theme_history.generated.csv,sector/theme/mainline_candidate,repo_current_or_generated_static_map,false,false,false,false,false,blocked_current_static_or_generated_map_not_pit,Inventory only. Must not be used as historical PIT evidence.
theme_universe,theme_universe.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\theme_universe.csv,sector/theme/mainline_candidate,repo_current_or_generated_static_map,false,false,false,false,false,blocked_current_static_or_generated_map_not_pit,Inventory only. Must not be used as historical PIT evidence.
industry_sector_rules,industry_sector_rules.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\industry_sector_rules.csv,sector/theme/mainline_candidate,repo_current_or_generated_static_map,false,false,false,false,false,blocked_current_static_or_generated_map_not_pit,Inventory only. Must not be used as historical PIT evidence.
