symbol,ticker,exchange,name,theme,subtheme,source_type,source_title,source_url,source_date,mops_upload_date,filename,download_status,parse_status,matched_keywords,pdf_bytes,source_exactness,acceptance_status,notes
1536,1536.TW,TWSE,和大,車用電子,車用傳動零件,company_annual_report,和大 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=1536&filename=2021_1536_20220608F04.pdf,2022-06-08,111/05/18 10:55:22,2021_1536_20220608F04.pdf,not_downloaded_reference_only,manual_summary_from_official_annual_report_listing,車用;傳動;齒輪;汽車;零組件,"9,734,059",exact_auto_drivetrain_components,accepted,Official MOPS listing verified filename and upload date; raw PDF not committed.
1590,1590.TW,TWSE,亞德客-KY,機器人/自動化,氣動元件/自動化,company_annual_report,亞德客-KY 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=1590&filename=2021_1590_20220616F04.pdf,2022-06-16,111/05/25 17:25:25,2021_1590_20220616F04.pdf,not_downloaded_reference_only,manual_summary_from_official_annual_report_listing,氣動;自動化;線性滑軌;控制元件,"2,812,125",exact_pneumatic_automation,accepted,Official MOPS listing verified filename and upload date; raw PDF not committed.
2049,2049.TW,TWSE,上銀,機器人/自動化,線性傳動,company_annual_report,上銀 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=2049&filename=2021_2049_20220627F04.pdf,2022-06-27,111/06/08 16:35:14,2021_2049_20220627F04.pdf,not_downloaded_reference_only,manual_summary_from_official_annual_report_listing,線性傳動;滾珠螺桿;線性滑軌;機器人;自動化,"6,873,864",exact_linear_motion_robotics,accepted,Official MOPS listing verified filename and upload date; raw PDF not committed.
2231,2231.TW,TWSE,為升,車用電子,車用電子,company_annual_report,為升 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=2231&filename=2021_2231_20220526F04.pdf,2022-05-26,111/05/06 08:29:09,2021_2231_20220526F04.pdf,not_downloaded_reference_only,manual_summary_from_official_annual_report_listing,車用電子;TPMS;胎壓偵測;汽車電子,"5,251,918",exact_auto_electronics,accepted,Official MOPS listing verified filename and upload date; raw PDF not committed.
2356,2356.TW,TWSE,英業達,AI伺服器/ODM,伺服器 ODM,company_annual_report,英業達 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=2356&filename=2021_2356_20220614F04.pdf,2022-06-14,111/05/19 17:07:06,2021_2356_20220614F04.pdf,not_downloaded_reference_only,manual_summary_from_official_annual_report_listing,伺服器;雲端;企業運算;ODM;系統產品,"3,676,152",server_odm_proxy_not_ai_specific,accepted,Official MOPS listing verified filename and upload date; raw PDF not committed.
2359,2359.TW,TWSE,所羅門,機器人/自動化,機器視覺/自動化,company_annual_report,所羅門 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=2359&filename=2021_2359_20220608F04.pdf,2022-06-08,111/05/25 18:34:35,2021_2359_20220608F04.pdf,not_downloaded_reference_only,manual_summary_from_official_annual_report_listing,自動化;機器視覺;機器人;工業控制,"5,106,430",exact_machine_vision_automation,accepted,Official MOPS listing verified filename and upload date; raw PDF not committed.
2376,2376.TW,TWSE,技嘉,AI伺服器/ODM,伺服器主機板/GPU 板卡,company_annual_report,技嘉 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=2376&filename=2021_2376_20220614F04.pdf,2022-06-14,111/05/26 15:11:47,2021_2376_20220614F04.pdf,not_downloaded_reference_only,manual_summary_from_official_annual_report_listing,伺服器;工作站;主機板;顯示卡;GPU,"9,234,084",server_gpu_platform_proxy,accepted,Official MOPS listing verified filename and upload date; raw PDF not committed.
2464,2464.TW,TWSE,盟立,機器人/自動化,自動化設備,company_annual_report,盟立 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=2464&filename=2021_2464_20220609F04.pdf,2022-06-09,111/05/20 15:21:21,2021_2464_20220609F04.pdf,not_downloaded_reference_only,manual_summary_from_official_annual_report_listing,自動化;設備;系統整合;工廠自動化,"6,512,968",exact_factory_automation,accepted,Official MOPS listing verified filename and upload date; raw PDF not committed.
2497,2497.TW,TWSE,怡利電,車用電子,車載電子,company_annual_report,怡利電 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=2497&filename=2021_2497_20220615F04.pdf,2022-06-15,111/05/25 15:27:14,2021_2497_20220615F04.pdf,not_downloaded_reference_only,manual_summary_from_official_annual_report_listing,車載;車用電子;汽車電子;車用影音,"3,964,118",exact_in_vehicle_electronics,accepted,Official MOPS listing verified filename and upload date; raw PDF not committed.
3552,3552.TWO,TPEx,同致,車用電子,車用感測,company_annual_report,同致 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=3552&filename=2021_3552_20220630F04.pdf,2022-06-30,111/06/17 12:42:53,2021_3552_20220630F04.pdf,not_downloaded_reference_only,manual_summary_from_official_annual_report_listing,車用;感測器;倒車雷達;汽車電子,"3,987,214",exact_auto_sensors,accepted,Official MOPS listing verified filename and upload date; raw PDF not committed.
3665,3665.TW,TWSE,貿聯-KY,車用電子,車用/高速連接線,company_annual_report,貿聯-KY 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=3665&filename=2021_3665_20220623F04.pdf,2022-06-23,111/06/01 15:31:46,2021_3665_20220623F04.pdf,not_downloaded_reference_only,manual_summary_from_official_annual_report_listing,車用;電動車;連接線;線束;連接器,"4,951,886",exact_auto_ev_interconnect,accepted,Official MOPS listing verified filename and upload date; raw PDF not committed.
4576,4576.TW,TWSE,大銀微系統,機器人/自動化,線性傳動,company_annual_report,大銀微系統 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=4576&filename=2021_4576_20220531F04.pdf,2022-05-31,111/05/11 19:33:39,2021_4576_20220531F04.pdf,not_downloaded_reference_only,manual_summary_from_official_annual_report_listing,線性馬達;自動化;運動控制;機器設備,"4,290,902",exact_motion_control_automation,accepted,Official MOPS listing verified filename and upload date; raw PDF not committed.
6166,6166.TW,TWSE,凌華,機器人/自動化,工業電腦/控制,company_annual_report,凌華 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=6166&filename=2021_6166_20220622F04.pdf,2022-06-22,111/06/02 13:12:21,2021_6166_20220622F04.pdf,not_downloaded_reference_only,manual_summary_from_official_annual_report_listing,工業電腦;邊緣運算;自動化;控制平台,"8,260,671",exact_industrial_pc_automation,accepted,Official MOPS listing verified filename and upload date; raw PDF not committed.
6279,6279.TWO,TPEx,胡連,車用電子,車用連接器,company_annual_report,胡連 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=6279&filename=2021_6279_20220617F04.pdf,2022-06-17,111/05/29 14:32:12,2021_6279_20220617F04.pdf,not_downloaded_reference_only,manual_summary_from_official_annual_report_listing,車用;連接器;端子;汽車零組件,"6,983,723",exact_auto_connectors,accepted,Official MOPS listing verified filename and upload date; raw PDF not committed.
6531,6531.TW,TWSE,愛普*,記憶體,記憶體 IP/AI 記憶體,company_annual_report,愛普* 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=6531&filename=2021_6531_20220527F04.pdf,2022-05-27,111/05/06 21:58:53,2021_6531_20220527F04.pdf,not_downloaded_reference_only,manual_summary_from_official_annual_report_listing,記憶體;DRAM;IP;AI記憶體;半導體,"7,627,098",exact_memory_ic_ip,accepted,Official MOPS listing verified filename and upload date; raw PDF not committed.
8088,8088.TWO,TPEx,品安,記憶體,記憶體模組,company_annual_report,品安 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=8088&filename=2021_8088_20220617F04.pdf,2022-06-17,111/06/02 15:43:14,2021_8088_20220617F04.pdf,not_downloaded_reference_only,manual_summary_from_official_annual_report_listing,記憶體;記憶體模組;DRAM;Flash,"4,196,476",exact_memory_modules,accepted,Official MOPS listing verified filename and upload date; raw PDF not committed.
