symbol,status,evidence_id
3081,accepted,TMEM-V2-BATCH03-3081-CPO-ANNUAL-2021
3163,accepted,TMEM-V2-BATCH03-3163-CPO-ANNUAL-2021
3234,accepted,TMEM-V2-BATCH03-3234-CPO-ANNUAL-2021
3363,accepted,TMEM-V2-BATCH03-3363-CPO-ANNUAL-2021
3450,accepted,TMEM-V2-BATCH03-3450-CPO-ANNUAL-2021
4908,accepted,TMEM-V2-BATCH03-4908-CPO-ANNUAL-2021
4977,accepted,TMEM-V2-BATCH03-4977-CPO-ANNUAL-2021
4979,accepted,TMEM-V2-BATCH03-4979-CPO-ANNUAL-2021
6442,accepted,TMEM-V2-BATCH03-6442-CPO-ANNUAL-2021
6451,accepted,TMEM-V2-BATCH03-6451-CPO-ANNUAL-2021
