scenario,ticker,event_type,holder_treatment,evidence,source_url,raw_sha256,future_data_violation_count
placebo_seed_17,1522,false_positive_termination_inference,not_applicable_official_trading_continues,official exact execution-date OHLC exists on 2025-04-09,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=1522&response=json,80ffd270953a7bc2025d46d87cd824b93ec7c56c5c24f4249df624b2929554f4,0
placebo_seed_17,5534,false_positive_termination_inference,not_applicable_official_trading_continues,official exact execution-date OHLC exists on 2025-04-22,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=5534&response=json,d81d764577559ed25dea9345e6c7aeffd24702cac1e551d7ef5f74d2bd6be666,0
placebo_seed_29,6190,false_positive_termination_inference,not_applicable_official_trading_continues,official exact execution-date OHLC exists on 2026-06-02,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=6190&date=2026%2F06%2F01&response=json,5414a120d6971ce0ff24bf22fa0a29c545fcc9d5d9c8cfb214c003f12aba77b4,0
placebo_seed_43,8048,false_positive_termination_inference,not_applicable_official_trading_continues,official exact execution-date OHLC exists on 2023-10-31,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=8048&date=2023%2F10%2F01&response=json,f7966884f754d764647a76f25201c0403eec49591be7fc6c5083f45e8ece9073,0
placebo_seed_43,4908,false_positive_termination_inference,not_applicable_official_trading_continues,official exact execution-date OHLC exists on 2026-05-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=4908&date=2026%2F05%2F01&response=json,c83987b58fe871323e7b2273171419d2f385bb2fc5a27a9f2df56fd8a548cd58,0
placebo_seed_71,4746,false_positive_termination_inference,not_applicable_official_trading_continues,official exact execution-date OHLC exists on 2024-03-12,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=4746&response=json,144cc8daa4b913054ecea564562b95b6cb8a9c5f2baae5d5c1b1093c9e71d268,0
placebo_seed_71,1618,false_positive_termination_inference,not_applicable_official_trading_continues,official exact execution-date OHLC exists on 2025-06-03,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250601&stockNo=1618&response=json,585929ea59ed465bf21a58633e9e9791e0719ccb27dbcc677e6f991483e778d5,0
placebo_seed_71,3138,false_positive_termination_inference,not_applicable_official_trading_continues,official exact execution-date OHLC exists on 2026-03-31,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260301&stockNo=3138&response=json,4dae43e4dfc3b1f08c05615f1ebf713e2d7868a211d4498db65b6e9c19663520,0
placebo_seed_101,3152,false_positive_termination_inference,not_applicable_official_trading_continues,official exact execution-date OHLC exists on 2023-12-12,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3152&date=2023%2F12%2F01&response=json,4ff30f9b5c7fa4f0297feaee2a656caf222ccc75611214913ea58f3a3cd71f8b,0
placebo_seed_101,8088,false_positive_termination_inference,not_applicable_official_trading_continues,official exact execution-date OHLC exists on 2026-02-10,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=8088&date=2026%2F02%2F01&response=json,5d6150f133ca34a92c19d24b496194b010be4c891977960f1d204f65017c987a,0
