package,source_class,governance_disposition,candidate_file_count,candidate_size_mb,package_file_count,dryrun_decision,source_audit_row_size_mb,notes
radar_0050_pit_missing_price_coverage_4tickers_20260629,proxy_partial_or_blocked_evidence,raw_archive_compress_candidate,0,0,215,protected_no_touch_excluded,1.351,Excluded because package matches hard-boundary protected data class.
radar_dynamic_pool1_all_listed_liquid_universe_pit_daily_20260703,proxy_partial_or_blocked_evidence,raw_archive_compress_candidate,0,0,43,protected_no_touch_excluded,34.57,Excluded because package matches hard-boundary protected data class.
radar_dynamic_pool1_market_cap_pit_20260703,proxy_partial_or_blocked_evidence,raw_archive_compress_candidate,0,0,34,protected_no_touch_excluded,9.267,Excluded because package matches hard-boundary protected data class.
radar_dynamic_pool1_mops_document_extraction_v1_20260704,diagnostic_only_evidence,raw_archive_compress_candidate,28,73.605,69,candidate_files_found,73.739,保留 evidence ledger、manifest、audit；raw PDF/HTML 可壓縮封存，不可刪除尚未備份資料。
radar_dynamic_pool1_mops_mainline_evidence_ledger_20260704,diagnostic_only_evidence,raw_archive_compress_candidate,6,1.036,24,candidate_files_found,1.119,保留 evidence ledger、manifest、audit；raw PDF/HTML 可壓縮封存，不可刪除尚未備份資料。
radar_dynamic_pool1_pit_source_acquisition_20260703,failed_or_superseded_route_attempt_evidence,archive_or_compress_candidates,0,0.0,17,no_raw_bulky_files_selected,0.102,保留 summary/manifest/attempt logs；raw wrappers、HTML、PDF、browser artifact 可壓縮封存。
radar_dynamic_pool1_quarterly_fundamentals_route_unlock_20260703,proxy_partial_or_blocked_evidence,raw_archive_compress_candidate,16,7.088,33,candidate_files_found,7.288,保留 package summary 與 readiness；依檔案型態分流 raw/archive 與 normalized rows。
radar_dynamic_pool1_sector_mainline_pit_full_sweep_and_tpex_reverse_20260703,diagnostic_only_evidence,raw_archive_compress_candidate,6,0.053,41,candidate_files_found,49.723,保留 evidence ledger、manifest、audit；raw PDF/HTML 可壓縮封存，不可刪除尚未備份資料。
radar_dynamic_pool1_sector_mainline_pit_source_package_20260703,diagnostic_only_evidence,raw_archive_compress_candidate,95,2.433,113,candidate_files_found,3.574,保留 evidence ledger、manifest、audit；raw PDF/HTML 可壓縮封存，不可刪除尚未備份資料。
radar_dynamic_pool1_tpex_static_reverse_archive_probe_20260703,diagnostic_only_evidence,raw_archive_compress_candidate,49,0.859,66,candidate_files_found,0.997,保留 evidence ledger、manifest、audit；raw PDF/HTML 可壓縮封存，不可刪除尚未備份資料。
radar_dynamic_pool1_twse_market_cap_route_20260703,proxy_partial_or_blocked_evidence,raw_archive_compress_candidate,0,0,41,protected_no_touch_excluded,8.74,Excluded because package matches hard-boundary protected data class.
radar_tw50_0050_archived_html_crawler_201411_202312_20260629,failed_or_superseded_route_attempt_evidence,archive_or_compress_candidates,80,80.66,97,candidate_files_found,80.892,保留 summary/manifest/attempt logs；raw wrappers、HTML、PDF、browser artifact 可壓縮封存。
radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629,failed_or_superseded_route_attempt_evidence,archive_or_compress_candidates,409,59.576,439,candidate_files_found,59.912,保留 summary/manifest/attempt logs；raw wrappers、HTML、PDF、browser artifact 可壓縮封存。
radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629,failed_or_superseded_route_attempt_evidence,archive_or_compress_candidates,90,9.834,107,candidate_files_found,9.981,保留 summary/manifest/attempt logs；raw wrappers、HTML、PDF、browser artifact 可壓縮封存。
radar_tw50_0050_endpoint_post_probe_phase5_201411_202312_20260629,failed_or_superseded_route_attempt_evidence,archive_or_compress_candidates,125,5.481,143,candidate_files_found,5.616,保留 summary/manifest/attempt logs；raw wrappers、HTML、PDF、browser artifact 可壓縮封存。
radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629,failed_or_superseded_route_attempt_evidence,archive_or_compress_candidates,630,73.768,659,candidate_files_found,76.558,保留 summary/manifest/attempt logs；raw wrappers、HTML、PDF、browser artifact 可壓縮封存。
radar_tw50_0050_historical_source_download_201411_202312_20260629,failed_or_superseded_route_attempt_evidence,archive_or_compress_candidates,5,0.055,18,candidate_files_found,0.089,保留 summary/manifest/attempt logs；raw wrappers、HTML、PDF、browser artifact 可壓縮封存。
radar_tw50_0050_manual_pit_ledger_phase2_20260629,proxy_partial_or_blocked_evidence,raw_archive_compress_candidate,0,0.0,13,no_raw_bulky_files_selected,0.021,保留 package summary 與 readiness；依檔案型態分流 raw/archive 與 normalized rows。
radar_tw50_0050_session_replay_phase6_201411_202312_20260629,failed_or_superseded_route_attempt_evidence,archive_or_compress_candidates,49,0.432,66,candidate_files_found,0.511,保留 summary/manifest/attempt logs；raw wrappers、HTML、PDF、browser artifact 可壓縮封存。
radar_tw50_pit_source_acquisition_201411_202312_20260629,proxy_partial_or_blocked_evidence,raw_archive_compress_candidate,0,0.0,11,no_raw_bulky_files_selected,0.012,保留 package summary 與 readiness；依檔案型態分流 raw/archive 與 normalized rows。
