field_group,field,existing_source,coverage,pit_status,source_quality,ready_for_core_layer1_contract_refresh,blocked_reason
Size / investability,market_cap,radar_dynamic_pool1_market_cap_pit_20260703 + twse_capital_stock proxy contract,TPEx sample route unlocked; TWSE capital stock quarterly proxy available 2015Q1-2026Q1; no full daily exact market cap,partial_proxy_candidate,proxy,True,TWSE direct daily market cap missing; free-float market cap missing; policy needed for capital-stock-to-shares normalization
Size / investability,paid_in_capital / shares outstanding proxy,radar_dynamic_pool1_twse_capital_stock_full_sweep_proxy_contract_20260703,"TWSE 45 quarters, 1079 symbols; TPEx needs separate route",partial_proxy_candidate,proxy,True,formal_exact=false; no daily exact issued shares; TPEx not covered by this TWSE package
Size / investability,listing board,radar_dynamic_pool1_listing_delisting_suspension_master_20260703,partial event rows and proxy rows; master_ready=false,partial_event_candidate,proxy,True,accepted master rows incomplete; needs Core policy for proxy_source_rows
Size / investability,industry / sector,radar_dynamic_pool1_sector_taxonomy_readiness_20260704,TWSE official industry diagnostic only; TPEx route locked,blocked_or_diagnostic_proxy,blocked,False,TPEx all-stock historical sector membership locked; official industry not formal theme/sector taxonomy
Growth,monthly revenue YoY / MoM / rolling 3M YoY,radar_dynamic_pool1_mops_monthly_revenue_full_universe_pit_20260703,"2015-01 to 2026-05; TWSE 1080 symbols, TPEx 891 symbols; 244620 rows",source_candidate_ready_for_core_transform,higher_quality_diagnostic,True,"available_date uses conservative next-month day 10, not exact per-company filing timestamp"
Growth,quarterly revenue growth,radar_dynamic_pool1_quarterly_fundamentals_full_sweep_20260703,2015Q1 to 2026Q1; 79046 rows; TWSE/TPEx full sweep,source_candidate_ready_for_core_transform,higher_quality_diagnostic,True,per-company exact filing timestamp unavailable; Core must compute growth and enforce asof policy
Growth,EPS growth,radar_dynamic_pool1_quarterly_fundamentals_full_sweep_20260703,EPS column present where MOPS table supplies value; 2015Q1-2026Q1,source_candidate_ready_for_core_transform,higher_quality_diagnostic,True,growth not precomputed; financial statement profiles differ for financial firms
Growth,operating income growth,radar_dynamic_pool1_quarterly_fundamentals_full_sweep_20260703,operating_income column present for non-financial profiles; 2015Q1-2026Q1,source_candidate_ready_for_core_transform,higher_quality_diagnostic,True,growth not precomputed; bank/financial profile lacks same operating_income semantics
Profitability / quality,net margin,quarterly fundamentals: net_income + operating_revenue,derivable for non-financial rows where revenue and net_income populated,source_candidate_derivable,higher_quality_diagnostic,True,needs Core derivation contract and financial-sector handling
Profitability / quality,ROE / ROA,quarterly fundamentals: roe column + assets/equity columns where available,ROE column exists in source schema; ROA derivable from net_income/total_assets where populated,partial_source_candidate_derivable,higher_quality_diagnostic,True,missingness by profile must be audited before use
Profitability / quality,margin trend / profitability trend,quarterly fundamentals: gross_margin / operating_margin / net margin derivation,2015Q1-2026Q1 source candidate; trend requires rolling transform,source_candidate_ready_for_core_transform,higher_quality_diagnostic,True,trend not materialized; Core must define windows and lag policy
Financial risk,operating cash flow / free cash flow quality,none in current quarterly t163sb04 income-statement sweep,not available,blocked,blocked,False,cash-flow statement route not acquired/materialized
Financial risk,debt / leverage,quarterly fundamentals: total_liabilities / equity / total_assets,derivable where balance-sheet fields populated in t163sb04 profile,partial_source_candidate_derivable,higher_quality_diagnostic,True,missingness/profile audit required; exact filing timestamp unavailable
Financial risk,current ratio,none in current summary sweep,not available,blocked,blocked,False,current assets/current liabilities not materialized
Financial risk,inventory / receivable risk,none in current summary sweep,not available,blocked,blocked,False,inventory/accounts receivable fields not materialized
