field,report_period,announcement_or_disclosure_date,effective_or_asof_date,revision_risk,period_coverage,ticker_coverage,pit_feasibility,ready_for_core_layer1_contract_refresh
market_cap,available for monthly revenue or quarterly fundamentals where source supports it,conservative available_date; exact per-company filing timestamp mostly unavailable,available_date / source_date candidate; Core must define lag policy,medium for MOPS restatement/revision; current package does not version revisions,monthly 2015-01..2026-05; quarterly 2015Q1..2026Q1 where supported,TWSE+TPEx for revenue/fundamentals; TWSE-only for capital stock; TPEx sample for market cap,partial_proxy_candidate,True
paid_in_capital / shares outstanding proxy,available for monthly revenue or quarterly fundamentals where source supports it,conservative available_date; exact per-company filing timestamp mostly unavailable,available_date / source_date candidate; Core must define lag policy,medium for MOPS restatement/revision; current package does not version revisions,monthly 2015-01..2026-05; quarterly 2015Q1..2026Q1 where supported,TWSE+TPEx for revenue/fundamentals; TWSE-only for capital stock; TPEx sample for market cap,partial_proxy_candidate,True
listing board,available for monthly revenue or quarterly fundamentals where source supports it,conservative available_date; exact per-company filing timestamp mostly unavailable,available_date / source_date candidate; Core must define lag policy,medium for MOPS restatement/revision; current package does not version revisions,monthly 2015-01..2026-05; quarterly 2015Q1..2026Q1 where supported,TWSE+TPEx for revenue/fundamentals; TWSE-only for capital stock; TPEx sample for market cap,partial_event_candidate,True
industry / sector,available for monthly revenue or quarterly fundamentals where source supports it,conservative available_date; exact per-company filing timestamp mostly unavailable,available_date / source_date candidate; Core must define lag policy,medium for MOPS restatement/revision; current package does not version revisions,monthly 2015-01..2026-05; quarterly 2015Q1..2026Q1 where supported,TWSE+TPEx for revenue/fundamentals; TWSE-only for capital stock; TPEx sample for market cap,blocked_or_diagnostic_proxy,False
monthly revenue YoY / MoM / rolling 3M YoY,available for monthly revenue or quarterly fundamentals where source supports it,conservative available_date; exact per-company filing timestamp mostly unavailable,available_date / source_date candidate; Core must define lag policy,medium for MOPS restatement/revision; current package does not version revisions,monthly 2015-01..2026-05; quarterly 2015Q1..2026Q1 where supported,TWSE+TPEx for revenue/fundamentals; TWSE-only for capital stock; TPEx sample for market cap,source_candidate_ready_for_core_transform,True
quarterly revenue growth,available for monthly revenue or quarterly fundamentals where source supports it,conservative available_date; exact per-company filing timestamp mostly unavailable,available_date / source_date candidate; Core must define lag policy,medium for MOPS restatement/revision; current package does not version revisions,monthly 2015-01..2026-05; quarterly 2015Q1..2026Q1 where supported,TWSE+TPEx for revenue/fundamentals; TWSE-only for capital stock; TPEx sample for market cap,source_candidate_ready_for_core_transform,True
EPS growth,available for monthly revenue or quarterly fundamentals where source supports it,conservative available_date; exact per-company filing timestamp mostly unavailable,available_date / source_date candidate; Core must define lag policy,medium for MOPS restatement/revision; current package does not version revisions,monthly 2015-01..2026-05; quarterly 2015Q1..2026Q1 where supported,TWSE+TPEx for revenue/fundamentals; TWSE-only for capital stock; TPEx sample for market cap,source_candidate_ready_for_core_transform,True
operating income growth,available for monthly revenue or quarterly fundamentals where source supports it,conservative available_date; exact per-company filing timestamp mostly unavailable,available_date / source_date candidate; Core must define lag policy,medium for MOPS restatement/revision; current package does not version revisions,monthly 2015-01..2026-05; quarterly 2015Q1..2026Q1 where supported,TWSE+TPEx for revenue/fundamentals; TWSE-only for capital stock; TPEx sample for market cap,source_candidate_ready_for_core_transform,True
net margin,available for monthly revenue or quarterly fundamentals where source supports it,conservative available_date; exact per-company filing timestamp mostly unavailable,available_date / source_date candidate; Core must define lag policy,medium for MOPS restatement/revision; current package does not version revisions,monthly 2015-01..2026-05; quarterly 2015Q1..2026Q1 where supported,TWSE+TPEx for revenue/fundamentals; TWSE-only for capital stock; TPEx sample for market cap,source_candidate_derivable,True
ROE / ROA,available for monthly revenue or quarterly fundamentals where source supports it,conservative available_date; exact per-company filing timestamp mostly unavailable,available_date / source_date candidate; Core must define lag policy,medium for MOPS restatement/revision; current package does not version revisions,monthly 2015-01..2026-05; quarterly 2015Q1..2026Q1 where supported,TWSE+TPEx for revenue/fundamentals; TWSE-only for capital stock; TPEx sample for market cap,partial_source_candidate_derivable,True
