source_id,source,route_or_path,decision,accepted_for_diagnostic,accepted_for_formal,notes
twse_mi_index_by_industry,TWSE MI_INDEX by official industry,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date={yyyymmdd}&type={industry_code}&response=json,diagnostic_only_twse_official_industry_proxy,true,false,Useful as TWSE-only official industry proxy; not AI/mainline/theme taxonomy and not TPEx.
tpex_statistics_idx,TPEx statistics idx route,https://www.tpex.org.tw/www/zh-tw/statistics/idx,blocked_index_statistics_not_all_stock_sector_membership,false,false,Fetched successfully in prior bounded probe but did not yield accepted membership rows.
tpex_ic_platform,TPEx Industry Chain Information Platform,https://ic.tpex.org.tw/,blocked_until_api_static_reverse_finds_dated_membership,false,false,Landing page contains industry-chain content but no accepted date-aware historical membership in current evidence.
mops_filings_theme_evidence_ledger,"MOPS annual reports, prospectuses, investor presentations, material information",https://mops.twse.com.tw/,blocked_pending_dated_evidence_ledger,false,false,Next programmatic route: build document locator/parser for dated company evidence; do not infer AI theme from current labels.
sector_map,sector_map.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\sector_map.csv,blocked_current_static_or_generated_map_not_pit,false,false,Inventory only. Must not be used as historical PIT evidence.
sector_map_generated,sector_map.generated.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\sector_map.generated.csv,blocked_current_static_or_generated_map_not_pit,false,false,Inventory only. Must not be used as historical PIT evidence.
theme_map,theme_map.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\theme_map.csv,blocked_current_static_or_generated_map_not_pit,false,false,Inventory only. Must not be used as historical PIT evidence.
theme_history_generated,theme_history.generated.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\theme_history.generated.csv,blocked_current_static_or_generated_map_not_pit,false,false,Inventory only. Must not be used as historical PIT evidence.
theme_universe,theme_universe.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\theme_universe.csv,blocked_current_static_or_generated_map_not_pit,false,false,Inventory only. Must not be used as historical PIT evidence.
industry_sector_rules,industry_sector_rules.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\industry_sector_rules.csv,blocked_current_static_or_generated_map_not_pit,false,false,Inventory only. Must not be used as historical PIT evidence.
tpex_historical_sector_membership,,,blocked_with_route_evidence,false,false,
ai_mainline_theme_taxonomy,,,blocked_no_date_aware_evidence_ledger,false,false,
official_industry_to_market_mainline_mapping,,,blocked_policy_not_equivalent,false,false,
twse_mi_index_industry_daily,,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=01,fetched,false,false,TWSE official daily by-industry close table probe. parsed_rows=7 title=104年01月05日 每日收盤行情(水泥工業)
twse_mi_index_industry_daily,,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,fetched,false,false,TWSE official daily by-industry close table probe. parsed_rows=22 title=104年01月05日 每日收盤行情(食品工業)
twse_mi_index_industry_daily,,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=03,fetched,false,false,TWSE official daily by-industry close table probe. parsed_rows=21 title=104年01月05日 每日收盤行情(塑膠工業)
twse_mi_index_industry_daily,,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=04,fetched,false,false,TWSE official daily by-industry close table probe. parsed_rows=39 title=104年01月05日 每日收盤行情(紡織纖維)
twse_mi_index_industry_daily,,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=05,fetched,false,false,TWSE official daily by-industry close table probe. parsed_rows=0 title=
twse_mi_index_industry_daily,,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=06,fetched,false,false,TWSE official daily by-industry close table probe. parsed_rows=0 title=
twse_mi_index_industry_daily,,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=08,fetched,false,false,TWSE official daily by-industry close table probe. parsed_rows=5 title=104年01月05日 每日收盤行情(玻璃陶瓷)
twse_mi_index_industry_daily,,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=09,fetched,false,false,TWSE official daily by-industry close table probe. parsed_rows=7 title=104年01月05日 每日收盤行情(造紙工業)
twse_mi_index_industry_daily,,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=10,fetched,false,false,TWSE official daily by-industry close table probe. parsed_rows=29 title=104年01月05日 每日收盤行情(鋼鐵工業)
twse_mi_index_industry_daily,,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=11,fetched,false,false,TWSE official daily by-industry close table probe. parsed_rows=10 title=104年01月05日 每日收盤行情(橡膠工業)
