component,readiness_status,exact_available,proxy_available,source_quality,source_candidate,blocked_reason,accepted_for_diagnostic,accepted_for_formal,human_review_required
ai_theme_excess_vs_0050,ready,False,True,proxy,MOPS/TWSE official dated evidence + price/turnover panels where applicable,trailing non-forward RS/excess proxy from weekly snapshot,True,False,True
ai_theme_excess_vs_00631L,ready,False,True,proxy,MOPS/TWSE official dated evidence + price/turnover panels where applicable,trailing non-forward excess proxy from weekly snapshot,True,False,True
ai_breadth_vs_0050,proxy_limited,False,True,proxy,MOPS/TWSE official dated evidence + price/turnover panels where applicable,Breadth depends on accepted membership; current trailing breadth proxy is diagnostic only.,True,False,True
ai_breadth_vs_00631L,proxy_limited,False,True,proxy,MOPS/TWSE official dated evidence + price/turnover panels where applicable,Breadth depends on accepted membership; current trailing breadth proxy is diagnostic only.,True,False,True
ai_turnover_concentration,partial_ready_diagnostic,False,False,diagnostic,MOPS/TWSE official dated evidence + price/turnover panels where applicable,"Official turnover/liquidity components exist, but full all-listed PIT universe remains incomplete.",True,False,True
ai_new_high_count,blocked_exact_proxy_available,False,True,proxy,MOPS/TWSE official dated evidence + price/turnover panels where applicable,Exact rolling new-high count requires accepted daily price panel plus rolling high definition; current Core proxy uses drawdown_60d >= -2%.,True,False,True
ai_long_strong_count,ready,False,False,diagnostic,MOPS/TWSE official dated evidence + price/turnover panels where applicable,from subpool_class,True,False,True
ai_pullback_repair_count,ready,False,False,diagnostic,MOPS/TWSE official dated evidence + price/turnover panels where applicable,from subpool_class,True,False,True
ai_drawdown_resilience,proxy_ready_diagnostic,False,True,diagnostic,MOPS/TWSE official dated evidence + price/turnover panels where applicable,"Can be computed from price drawdown fields, but not a membership-quality substitute.",True,False,True
best_non_ai_theme_id,proxy_upgraded_not_formal,False,True,proxy,MOPS/TWSE official dated evidence + price/turnover panels where applicable,"Non-AI comparator can move from unclassified bucket to official-industry proxy candidates, but still not formal theme taxonomy.",True,False,True
best_non_ai_theme_score,proxy_upgraded_not_formal,False,True,proxy,MOPS/TWSE official dated evidence + price/turnover panels where applicable,Comparator score can be computed against official-industry proxy candidates only after Core adopts the diagnostic taxonomy.,True,False,True
ai_vs_best_non_ai_theme_spread,proxy_upgraded_not_formal,False,True,proxy,MOPS/TWSE official dated evidence + price/turnover panels where applicable,Spread remains proxy because both AI membership and non-AI comparator are not formal-reviewed.,True,False,True
ai_theme_state,proxy_limited,False,True,proxy,MOPS/TWSE official dated evidence + price/turnover panels where applicable,state computed from proxy-heavy membership and comparator,True,False,True
