ticker,price_date,required_as,impacted_f_signal_dates,r6_weekly_signal_start,r6_weekly_signal_end,weekly_r6_branches,required_fields,source_requirement,adjusted_close_ready,path_status,next_owner,existing_close,existing_daily_mark_available,name,market,open,high,low,close,volume,turnover_value,source_route,source_url,source_quality,raw_sha256,retrieved_at_utc,official_unadjusted_ohlc_ready,adjustment_policy,blocked_reason,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
1301,2017-05-15,daily_mark_entry_close,2017-05-12,2017-05-15,2017-05-22,route_support,official_unadjusted_close_at_price_date_for_daily_mark_path,selected_ticker_only official daily unadjusted OHLC; reuse prior Radar rows before bounded official month routes,False,blocked_pending_core_daily_r6_mark_absorption,Radar/Data bounded P1 weekly R6 selected-stock daily OHLC attribution gap fill,,False,,TWSE,89.0,89.3,88.8,89.0,6155448,547528272,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,2f97b5d260d169930f0228386695f91a58e8ece187081e322fc2f5dc4fb74e71,2026-07-10T05:14:35+00:00,True,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,,0,False,False,False,False,False,False,False,True,False
1301,2017-05-16,daily_mark_entry_close|daily_mark_following_close,2017-05-12|2017-05-15,2017-05-15,2017-05-22,route_support,official_unadjusted_close_at_price_date_for_daily_mark_path,selected_ticker_only official daily unadjusted OHLC; reuse prior Radar rows before bounded official month routes,False,blocked_pending_core_daily_r6_mark_absorption,Radar/Data bounded P1 weekly R6 selected-stock daily OHLC attribution gap fill,,False,,TWSE,89.1,89.1,88.5,89.0,7950614,706216846,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,2f97b5d260d169930f0228386695f91a58e8ece187081e322fc2f5dc4fb74e71,2026-07-10T05:14:35+00:00,True,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,,0,False,False,False,False,False,False,False,True,False
1301,2017-05-17,daily_mark_entry_close|daily_mark_following_close,2017-05-15|2017-05-16,2017-05-15,2017-05-22,route_support,official_unadjusted_close_at_price_date_for_daily_mark_path,selected_ticker_only official daily unadjusted OHLC; reuse prior Radar rows before bounded official month routes,False,blocked_pending_core_daily_r6_mark_absorption,Radar/Data bounded P1 weekly R6 selected-stock daily OHLC attribution gap fill,,False,,TWSE,89.0,89.2,88.5,89.0,6625017,588643113,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,2f97b5d260d169930f0228386695f91a58e8ece187081e322fc2f5dc4fb74e71,2026-07-10T05:14:35+00:00,True,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,,0,False,False,False,False,False,False,False,True,False
1301,2017-05-18,daily_mark_entry_close|daily_mark_following_close,2017-05-16|2017-05-17,2017-05-15,2017-05-22,route_support,official_unadjusted_close_at_price_date_for_daily_mark_path,selected_ticker_only official daily unadjusted OHLC; reuse prior Radar rows before bounded official month routes,False,blocked_pending_core_daily_r6_mark_absorption,Radar/Data bounded P1 weekly R6 selected-stock daily OHLC attribution gap fill,,False,,TWSE,88.2,88.9,88.1,88.5,6671168,589969756,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,2f97b5d260d169930f0228386695f91a58e8ece187081e322fc2f5dc4fb74e71,2026-07-10T05:14:35+00:00,True,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,,0,False,False,False,False,False,False,False,True,False
1301,2017-05-19,daily_mark_entry_close|daily_mark_following_close,2017-05-17|2017-05-18,2017-05-15,2017-05-22,route_support,official_unadjusted_close_at_price_date_for_daily_mark_path,selected_ticker_only official daily unadjusted OHLC; reuse prior Radar rows before bounded official month routes,False,blocked_pending_core_daily_r6_mark_absorption,Radar/Data bounded P1 weekly R6 selected-stock daily OHLC attribution gap fill,,False,,TWSE,88.5,88.7,87.8,88.0,7379622,649783136,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,2f97b5d260d169930f0228386695f91a58e8ece187081e322fc2f5dc4fb74e71,2026-07-10T05:14:35+00:00,True,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,,0,False,False,False,False,False,False,False,True,False
1301,2017-05-22,daily_mark_following_close,2017-05-18,2017-05-15,2017-05-22,route_support,official_unadjusted_close_at_price_date_for_daily_mark_path,selected_ticker_only official daily unadjusted OHLC; reuse prior Radar rows before bounded official month routes,False,blocked_pending_core_daily_r6_mark_absorption,Radar/Data bounded P1 weekly R6 selected-stock daily OHLC attribution gap fill,,False,,TWSE,88.0,88.5,87.6,88.0,9667205,850734240,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,2f97b5d260d169930f0228386695f91a58e8ece187081e322fc2f5dc4fb74e71,2026-07-10T05:14:35+00:00,True,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,,0,False,False,False,False,False,False,False,True,False
2316,2015-05-04,daily_mark_entry_close,2015-04-30,2015-05-04,2015-05-11,route_support,official_unadjusted_close_at_price_date_for_daily_mark_path,selected_ticker_only official daily unadjusted OHLC; reuse prior Radar rows before bounded official month routes,False,blocked_pending_core_daily_r6_mark_absorption,Radar/Data bounded P1 weekly R6 selected-stock daily OHLC attribution gap fill,,False,,TWSE,23.05,23.4,22.65,22.8,2875992,66002152,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,a4a02a7edc8f54770b4bc2b58657a8373b53879a6ce67faf89a592eb23f2fa02,2026-07-10T05:14:35+00:00,True,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,,0,False,False,False,False,False,False,False,True,False
2316,2015-05-05,daily_mark_entry_close|daily_mark_following_close,2015-04-30|2015-05-04,2015-05-04,2015-05-11,route_support,official_unadjusted_close_at_price_date_for_daily_mark_path,selected_ticker_only official daily unadjusted OHLC; reuse prior Radar rows before bounded official month routes,False,blocked_pending_core_daily_r6_mark_absorption,Radar/Data bounded P1 weekly R6 selected-stock daily OHLC attribution gap fill,,False,,TWSE,22.9,22.95,22.3,22.4,3327605,74944105,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,a4a02a7edc8f54770b4bc2b58657a8373b53879a6ce67faf89a592eb23f2fa02,2026-07-10T05:14:35+00:00,True,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,,0,False,False,False,False,False,False,False,True,False
2316,2015-05-06,daily_mark_entry_close|daily_mark_following_close,2015-05-04|2015-05-05,2015-05-04,2015-05-11,route_support,official_unadjusted_close_at_price_date_for_daily_mark_path,selected_ticker_only official daily unadjusted OHLC; reuse prior Radar rows before bounded official month routes,False,blocked_pending_core_daily_r6_mark_absorption,Radar/Data bounded P1 weekly R6 selected-stock daily OHLC attribution gap fill,,False,,TWSE,22.4,22.9,22.2,22.9,2381544,53946846,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,a4a02a7edc8f54770b4bc2b58657a8373b53879a6ce67faf89a592eb23f2fa02,2026-07-10T05:14:35+00:00,True,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,,0,False,False,False,False,False,False,False,True,False
2316,2015-05-07,daily_mark_entry_close|daily_mark_following_close,2015-05-05|2015-05-06,2015-05-04,2015-05-11,route_support,official_unadjusted_close_at_price_date_for_daily_mark_path,selected_ticker_only official daily unadjusted OHLC; reuse prior Radar rows before bounded official month routes,False,blocked_pending_core_daily_r6_mark_absorption,Radar/Data bounded P1 weekly R6 selected-stock daily OHLC attribution gap fill,,False,,TWSE,22.7,23.1,22.6,22.75,1623147,37023315,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,a4a02a7edc8f54770b4bc2b58657a8373b53879a6ce67faf89a592eb23f2fa02,2026-07-10T05:14:35+00:00,True,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,,0,False,False,False,False,False,False,False,True,False
2316,2015-05-08,daily_mark_entry_close|daily_mark_following_close,2015-05-06|2015-05-07,2015-05-04,2015-05-11,route_support,official_unadjusted_close_at_price_date_for_daily_mark_path,selected_ticker_only official daily unadjusted OHLC; reuse prior Radar rows before bounded official month routes,False,blocked_pending_core_daily_r6_mark_absorption,Radar/Data bounded P1 weekly R6 selected-stock daily OHLC attribution gap fill,,False,,TWSE,22.9,23.5,22.9,23.0,4730139,109685797,local_reused_official_selected_ohlc_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,official_unadjusted_ohlcv_reused_local_source_package,a4a02a7edc8f54770b4bc2b58657a8373b53879a6ce67faf89a592eb23f2fa02,2026-07-10T05:14:35+00:00,True,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,,0,False,False,False,False,False,False,False,True,False
