ticker,layer1_pass,major_risk_hard_exclude,peer_bottom30_with_deterioration
1101,False,False,True
1102,False,False,True
1216,True,False,False
1301,False,False,True
1303,True,False,False
1326,True,False,False
1409,True,False,False
1504,True,False,False
1519,False,False,True
1560,True,False,False
1590,True,False,False
1605,True,False,False
1717,True,False,False
1785,True,False,False
1802,True,False,False
1815,True,False,False
2002,False,True,True
2049,True,False,False
2059,True,False,False
2301,True,False,False
2303,True,False,False
2308,True,False,False
2312,False,False,True
2313,True,False,False
2317,True,False,False
2324,True,False,False
2327,True,False,False
2330,True,False,False
2337,True,False,False
2344,True,False,False
2345,True,False,False
2347,True,False,False
2351,True,False,False
2353,True,False,False
2356,True,False,False
2357,True,False,False
2360,True,False,False
2363,True,False,False
2368,True,False,False
2369,True,False,False
2375,True,False,False
2376,True,False,False
2377,False,False,True
2379,True,False,False
2382,True,False,False
2383,True,False,False
2395,True,False,False
2404,True,False,False
2406,True,False,False
2408,True,False,False
2409,False,True,True
2412,True,False,False
2426,False,False,True
2441,True,False,False
2449,True,False,False
2451,True,False,False
2454,True,False,False
2455,True,False,False
2458,True,False,False
2464,True,False,False
2467,True,False,False
2472,True,False,False
2474,False,False,True
2478,True,False,False
2481,True,False,False
2484,True,False,False
2486,True,False,False
2492,True,False,False
2493,True,False,False
2603,True,False,False
2609,True,False,False
2610,True,False,False
2615,True,False,False
2618,True,False,False
2801,True,False,False
2880,True,False,False
2881,False,False,True
2882,True,False,False
2883,False,False,True
2884,True,False,False
2885,True,False,False
2886,True,False,False
2887,True,False,False
2890,True,False,False
2891,True,False,False
2892,True,False,False
2912,True,False,False
3006,True,False,False
3008,True,False,False
3016,True,False,False
3017,True,False,False
3026,True,False,False
3030,True,False,False
3034,True,False,False
3035,False,False,True
3036,True,False,False
3037,True,False,False
3042,True,False,False
3044,True,False,False
3045,True,False,False
3081,True,False,False
3090,True,False,False
3105,True,False,False
3131,True,False,False
3149,False,True,True
3163,True,False,False
3167,True,False,False
3189,True,False,False
3211,False,False,True
3231,True,False,False
3260,True,False,False
3264,True,False,False
3293,True,False,False
3324,True,False,False
3357,True,False,False
3362,False,True,True
3363,False,True,True
3374,True,False,False
3406,True,False,False
3413,True,False,False
3443,True,False,False
3450,True,False,False
3481,True,False,False
3491,True,False,False
3529,True,False,False
3532,False,True,True
3533,True,False,False
3583,True,False,False
3653,True,False,False
3661,False,False,True
3665,True,False,False
3680,True,False,False
3702,True,False,False
3706,True,False,False
3707,False,True,True
3711,True,False,False
3715,False,False,True
4749,True,False,False
4904,True,False,False
4916,True,False,False
4919,False,False,True
4931,True,False,False
4938,False,False,True
4958,True,False,False
4966,True,False,False
4979,True,False,False
4991,True,False,False
5269,False,False,True
5274,True,False,False
5289,True,False,False
5328,False,False,True
5347,True,False,False
5351,True,False,False
5371,False,True,True
5425,True,False,False
5434,True,False,False
5439,True,False,False
5483,True,False,False
5536,True,False,False
5871,False,False,True
6116,False,True,True
6127,False,True,True
6139,True,False,False
6147,True,False,False
6173,True,False,False
6182,True,False,False
6187,True,False,False
6191,False,False,True
6196,True,False,False
6197,True,False,False
6207,True,False,False
6213,True,False,False
6217,True,False,False
6223,True,False,False
6239,True,False,False
6257,True,False,False
6271,True,False,False
6274,True,False,False
6278,True,False,False
6282,True,False,False
6285,True,False,False
6290,True,False,False
6409,False,False,True
6415,True,False,False
6442,True,False,False
6446,True,False,False
6451,False,True,True
6488,False,False,True
6510,True,False,False
6515,True,False,False
6531,True,False,False
6548,True,False,False
6669,True,False,False
6672,True,False,False
6683,True,False,False
6719,False,False,True
6770,True,False,False
6781,True,False,False
6789,True,False,False
6805,True,False,False
6831,False,False,True
7610,True,False,False
7769,True,False,False
8016,True,False,False
8021,True,False,False
8027,False,True,True
8028,True,False,False
8033,False,False,True
8039,True,False,False
8042,True,False,False
8043,True,False,False
8046,True,False,False
8064,False,False,True
8069,False,False,True
8096,True,False,False
8112,True,False,False
8150,True,False,False
8210,True,False,False
8261,True,False,False
8299,True,False,False
8358,True,False,False
8996,True,False,False
