ticker,industry_code,industry_source,industry_name
1101,01,official_twse_current_company_profile,產業代碼01
1102,01,official_twse_current_company_profile,產業代碼01
1103,01,official_twse_current_company_profile,產業代碼01
1104,01,official_twse_current_company_profile,產業代碼01
1108,01,official_twse_current_company_profile,產業代碼01
1109,01,official_twse_current_company_profile,產業代碼01
1110,01,official_twse_current_company_profile,產業代碼01
1201,02,official_twse_current_company_profile,產業代碼02
1203,02,official_twse_current_company_profile,產業代碼02
1210,02,official_twse_current_company_profile,產業代碼02
1213,02,official_twse_current_company_profile,產業代碼02
1215,02,official_twse_current_company_profile,產業代碼02
1216,02,official_twse_current_company_profile,產業代碼02
1217,02,official_twse_current_company_profile,產業代碼02
1218,02,official_twse_current_company_profile,產業代碼02
1219,02,official_twse_current_company_profile,產業代碼02
1220,02,official_twse_current_company_profile,產業代碼02
1225,02,official_twse_current_company_profile,產業代碼02
1227,02,official_twse_current_company_profile,產業代碼02
1229,02,official_twse_current_company_profile,產業代碼02
1231,02,official_twse_current_company_profile,產業代碼02
1232,02,official_twse_current_company_profile,產業代碼02
1233,02,official_twse_current_company_profile,產業代碼02
1234,02,official_twse_current_company_profile,產業代碼02
1235,02,official_twse_current_company_profile,產業代碼02
1236,02,official_twse_current_company_profile,產業代碼02
1256,02,official_twse_current_company_profile,產業代碼02
1301,03,official_twse_current_company_profile,產業代碼03
1303,03,official_twse_current_company_profile,產業代碼03
1304,03,official_twse_current_company_profile,產業代碼03
1305,03,official_twse_current_company_profile,產業代碼03
1307,03,official_twse_current_company_profile,產業代碼03
1308,03,official_twse_current_company_profile,產業代碼03
1309,03,official_twse_current_company_profile,產業代碼03
1310,03,official_twse_current_company_profile,產業代碼03
1312,03,official_twse_current_company_profile,產業代碼03
1313,03,official_twse_current_company_profile,產業代碼03
1314,03,official_twse_current_company_profile,產業代碼03
1315,03,official_twse_current_company_profile,產業代碼03
1316,14,official_twse_current_company_profile,建材營造
1319,12,official_twse_current_company_profile,汽車工業
1321,03,official_twse_current_company_profile,產業代碼03
1323,03,official_twse_current_company_profile,產業代碼03
1324,03,official_twse_current_company_profile,產業代碼03
1325,03,official_twse_current_company_profile,產業代碼03
1326,03,official_twse_current_company_profile,產業代碼03
1337,03,official_twse_current_company_profile,產業代碼03
1338,12,official_twse_current_company_profile,汽車工業
1339,12,official_twse_current_company_profile,汽車工業
1340,03,official_twse_current_company_profile,產業代碼03
1341,03,official_twse_current_company_profile,產業代碼03
1342,20,official_twse_current_company_profile,其他
1402,04,official_twse_current_company_profile,產業代碼04
1409,04,official_twse_current_company_profile,產業代碼04
1410,04,official_twse_current_company_profile,產業代碼04
1413,04,official_twse_current_company_profile,產業代碼04
1414,04,official_twse_current_company_profile,產業代碼04
1416,20,official_twse_current_company_profile,其他
1417,04,official_twse_current_company_profile,產業代碼04
1418,04,official_twse_current_company_profile,產業代碼04
1419,04,official_twse_current_company_profile,產業代碼04
1423,04,official_twse_current_company_profile,產業代碼04
1432,37,official_twse_current_company_profile,產業代碼37
1434,04,official_twse_current_company_profile,產業代碼04
1435,20,official_twse_current_company_profile,其他
1436,14,official_twse_current_company_profile,建材營造
1437,20,official_twse_current_company_profile,其他
1438,14,official_twse_current_company_profile,建材營造
1439,14,official_twse_current_company_profile,建材營造
1440,04,official_twse_current_company_profile,產業代碼04
1441,04,official_twse_current_company_profile,產業代碼04
1442,14,official_twse_current_company_profile,建材營造
1443,20,official_twse_current_company_profile,其他
1444,04,official_twse_current_company_profile,產業代碼04
1445,04,official_twse_current_company_profile,產業代碼04
1446,04,official_twse_current_company_profile,產業代碼04
1447,04,official_twse_current_company_profile,產業代碼04
1449,04,official_twse_current_company_profile,產業代碼04
1451,04,official_twse_current_company_profile,產業代碼04
1452,04,official_twse_current_company_profile,產業代碼04
1453,14,official_twse_current_company_profile,建材營造
1454,04,official_twse_current_company_profile,產業代碼04
1455,04,official_twse_current_company_profile,產業代碼04
1456,14,official_twse_current_company_profile,建材營造
1457,04,official_twse_current_company_profile,產業代碼04
1459,04,official_twse_current_company_profile,產業代碼04
1460,04,official_twse_current_company_profile,產業代碼04
1463,04,official_twse_current_company_profile,產業代碼04
1464,04,official_twse_current_company_profile,產業代碼04
1465,04,official_twse_current_company_profile,產業代碼04
1466,04,official_twse_current_company_profile,產業代碼04
1467,04,official_twse_current_company_profile,產業代碼04
1468,04,official_twse_current_company_profile,產業代碼04
1470,04,official_twse_current_company_profile,產業代碼04
1471,28,official_twse_current_company_profile,電子零組件業
1472,14,official_twse_current_company_profile,建材營造
1473,04,official_twse_current_company_profile,產業代碼04
1474,04,official_twse_current_company_profile,產業代碼04
1475,04,official_twse_current_company_profile,產業代碼04
1476,04,official_twse_current_company_profile,產業代碼04
1477,04,official_twse_current_company_profile,產業代碼04
1503,05,official_twse_current_company_profile,產業代碼05
1504,05,official_twse_current_company_profile,產業代碼05
1506,05,official_twse_current_company_profile,產業代碼05
