ticker,company_name,market,candidate_scope,status,blocked_reason,next_programmatic_source,accepted_for_diagnostic,accepted_for_formal
1560.TW,中砂,TWSE,pool1b_materials,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
2308.TW,台達電,TWSE,old_ai_power,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
2356.TW,英業達,TWSE,old_ai_server,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
2382.TW,廣達,TWSE,old_ai_server,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
2395.TW,研華,TWSE,old_ai_edge_aiot,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
2449.TW,京元電子,TWSE,pool1b_semiconductor,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
3017.TW,奇鋐,TWSE,old_ai_cooling,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
3044.TW,健鼎,TWSE,pool1b_pcb,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
3189.TW,景碩,TWSE,pool1b_substrate,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
3324.TW,雙鴻,TWSE,pool1b_cooling,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
3443.TW,創意,TWSE,pool1b_ic_design,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
3533.TW,嘉澤,TWSE,pool1b_high_speed,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
3665.TW,貿聯-KY,TWSE,pool1b_high_speed,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
6213.TW,聯茂,TWSE,pool1b_ccl,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
6285.TW,啟碁,TWSE,pool1b_networking,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
6412.TW,群電,TWSE,pool1b_power,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
6442.TW,光聖,TWSE,pool1b_optical,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
6488.TWO,環球晶,TPEx,pool1b_semiconductor_materials,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
6669.TW,緯穎,TWSE,old_ai_server,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
8046.TW,南電,TWSE,pool1b_substrate,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
8210.TW,勤誠,TWSE,pool1b_server_chassis,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
8299.TWO,群聯,TPEx,pool1b_storage,needs_review_or_no_keyword_match_in_v0_sources,No accepted date-aware AI/mainline/theme keyword evidence found in bounded v0 official disclosure sources.,MOPS annual reports / investor conference materials / prospectus / material information document locator and text extraction.,false,false
