ticker,name,market,year_month,route,source_url,raw_cache_path,raw_sha256,route_status,route_error,accepted_month_rows,target_dates_in_month,target_dates_found,response_bytes,retrieved_at_utc,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
1565,精華,TPEx,201711,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1565&date=2017/11/01&response=json,raw_sources\tpex_trading_stock_1565_201711.json,8d023eab85704a91db663b57387f3e5a62276094d9756a7dde1fcd9d4075d21e,fetched,,22,2,2,2360,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
1795,美時,TPEx,201905,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1795&date=2019/05/01&response=json,raw_sources\tpex_trading_stock_1795_201905.json,c78ed7e8f80b7afdfc26be0727db5c84ea3adbe4c787313b49ce64e39cf078b5,fetched,,22,1,1,2397,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
1795,美時,TPEx,201906,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1795&date=2019/06/01&response=json,raw_sources\tpex_trading_stock_1795_201906.json,32b96ec17791ae079358aed9ff19851fb2dd2e6e0ca50641edf3f9d6a52505e9,fetched,,19,4,4,2183,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
3081,聯亞,TPEx,202212,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3081&date=2022/12/01&response=json,raw_sources\tpex_trading_stock_3081_202212.json,b801f7394025082ff52cc3a7f93a48d901c5016635d3de13da5fc46a744eed4f,fetched,,22,4,4,2413,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
3105,穩懋,TPEx,201608,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3105&date=2016/08/01&response=json,raw_sources\tpex_trading_stock_3105_201608.json,226b4ed851a0aeb261c335a160c67e5534507e80d6ebe8c68aa946b6152493c4,fetched,,23,2,2,2415,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
3105,穩懋,TPEx,201803,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3105&date=2018/03/01&response=json,raw_sources\tpex_trading_stock_3105_201803.json,e93ab5ae0290047ee70264491b5b5f74ac222fa0bbcab6d30bb39bd0cf8010a9,fetched,,23,2,2,2563,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
3105,穩懋,TPEx,201805,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3105&date=2018/05/01&response=json,raw_sources\tpex_trading_stock_3105_201805.json,0d9ca430a5dd41b7a2fbc238cf2b06a4789a5d498c441b6556f263652a2c4b5d,fetched,,22,1,1,2457,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
3105,穩懋,TPEx,201806,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3105&date=2018/06/01&response=json,raw_sources\tpex_trading_stock_3105_201806.json,adf24952e1cee749b825ad32c2390d1d13ac918d18647beb6505f0976a80f342,fetched,,20,1,1,2285,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
3105,穩懋,TPEx,201809,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3105&date=2018/09/01&response=json,raw_sources\tpex_trading_stock_3105_201809.json,8d55847e2d2872914faac7fa4cfb0fa069f98b6017172c992b8f685d7157fa28,fetched,,19,2,2,2233,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
3105,穩懋,TPEx,202009,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3105&date=2020/09/01&response=json,raw_sources\tpex_trading_stock_3105_202009.json,5fd8181cb688bca661e42803beec43548f3c08e020a485bf0dbdd8014335832a,fetched,,22,2,2,2450,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
3169,亞信,TPEx,202205,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3169&date=2022/05/01&response=json,raw_sources\tpex_trading_stock_3169_202205.json,df4b56676d4622bb8270ee750fb623c34b268c1dc0f2c583e5a7b1a02bba89c5,fetched,,21,1,1,2352,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
3169,亞信,TPEx,202206,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3169&date=2022/06/01&response=json,raw_sources\tpex_trading_stock_3169_202206.json,a7ffe3e58247014a45f2701ff81412c3fdaf45b26b71a1d48d6d9b4f54b58903,fetched,,21,1,1,2340,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
3218,大學光,TPEx,202104,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3218&date=2021/04/01&response=json,raw_sources\tpex_trading_stock_3218_202104.json,dbfb211a0f79882fa0331d5a820e9af774e2a97a004fb43e18dc072251375903,fetched,,19,2,2,2129,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
3234,光環,TPEx,201606,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3234&date=2016/06/01&response=json,raw_sources\tpex_trading_stock_3234_201606.json,1902addcced7e44f16c8e8be9000f9a5b5681e7f9999657053fcd6874da5d828,fetched,,21,2,2,2252,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
3260,威剛,TPEx,201802,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3260&date=2018/02/01&response=json,raw_sources\tpex_trading_stock_3260_201802.json,9bf26774cfbbce1c5258b7b0973b278c9a6775fbf5d2afba8debcc4486f5fe5f,fetched,,13,1,1,1606,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
3260,威剛,TPEx,201803,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3260&date=2018/03/01&response=json,raw_sources\tpex_trading_stock_3260_201803.json,85bf1cf29a488e51d6fe4cfc07f8c9ce8f64914bafc65a2f9a7df27ac1f62313,fetched,,23,1,1,2391,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
3260,威剛,TPEx,202005,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3260&date=2020/05/01&response=json,raw_sources\tpex_trading_stock_3260_202005.json,3c27bc6644c7092bf3b7fe8bd72a25baf67545141373f4a3bd34ed2761be6b7d,fetched,,20,2,2,2184,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
3289,宜特,TPEx,202209,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3289&date=2022/09/01&response=json,raw_sources\tpex_trading_stock_3289_202209.json,6a7e61fe1dc1fb4a7a25a891f1165aaa40f0b827ae54347b20f771c07eadee46,fetched,,21,2,2,2255,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
3293,鈊象,TPEx,201612,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3293&date=2016/12/01&response=json,raw_sources\tpex_trading_stock_3293_201612.json,a3ad61e7f629a3c0a83de78125708486b2f9b144ebda38e05fb2627e58699b0c,fetched,,22,2,2,2422,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
3293,鈊象,TPEx,202001,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3293&date=2020/01/01&response=json,raw_sources\tpex_trading_stock_3293_202001.json,f95e9a1b1458a357122f0b778d52418972956a7031cbc8d6a4a20b75d26da233,fetched,,15,2,2,1842,2026-07-09T01:43:18+00:00,0,False,False,False,False,False,False,False,True,False
