ticker,name,market,event_type,event_date,source_date,source_url,source_id,source_type,formal_ready,blocked_reason,raw_event_date,notes,raw_source_id
7795,長廣,TWSE,listing,2026-01-16,2026-07-03,https://openapi.twse.com.tw/v1/company/newlisting,twse_company_newlisting,official_recent_listing_events,partial_event_row_not_full_master,,1150116,"TWSE recent listing endpoint; dated rows accepted, coverage remains incomplete.",
7769,鴻勁,TWSE,listing,2025-11-27,2026-07-03,https://openapi.twse.com.tw/v1/company/newlisting,twse_company_newlisting,official_recent_listing_events,partial_event_row_not_full_master,,1141127,"TWSE recent listing endpoint; dated rows accepted, coverage remains incomplete.",
6831,邁科,TWSE,listing,2025-11-25,2026-07-03,https://openapi.twse.com.tw/v1/company/newlisting,twse_company_newlisting,official_recent_listing_events,partial_event_row_not_full_master,,1141125,"TWSE recent listing endpoint; dated rows accepted, coverage remains incomplete.",
4585,達明,TWSE,listing,2025-09-26,2026-07-03,https://openapi.twse.com.tw/v1/company/newlisting,twse_company_newlisting,official_recent_listing_events,partial_event_row_not_full_master,,1140926,"TWSE recent listing endpoint; dated rows accepted, coverage remains incomplete.",
7750,新代,TWSE,listing,2025-09-17,2026-07-03,https://openapi.twse.com.tw/v1/company/newlisting,twse_company_newlisting,official_recent_listing_events,partial_event_row_not_full_master,,1140917,"TWSE recent listing endpoint; dated rows accepted, coverage remains incomplete.",
7610,聯友金屬-創,TWSE,listing,2025-09-09,2026-07-03,https://openapi.twse.com.tw/v1/company/newlisting,twse_company_newlisting,official_recent_listing_events,partial_event_row_not_full_master,,1140909,"TWSE recent listing endpoint; dated rows accepted, coverage remains incomplete.",
3135,凌航,TWSE,listing,2025-08-06,2026-07-03,https://openapi.twse.com.tw/v1/company/newlisting,twse_company_newlisting,official_recent_listing_events,partial_event_row_not_full_master,,1140806,"TWSE recent listing endpoint; dated rows accepted, coverage remains incomplete.",
6589,台康生技,TWSE,listing,2025-07-21,2026-07-03,https://openapi.twse.com.tw/v1/company/newlisting,twse_company_newlisting,official_recent_listing_events,partial_event_row_not_full_master,,1140721,"TWSE recent listing endpoint; dated rows accepted, coverage remains incomplete.",
6944,兆聯實業,TWSE,listing,2025-05-28,2026-07-03,https://openapi.twse.com.tw/v1/company/newlisting,twse_company_newlisting,official_recent_listing_events,partial_event_row_not_full_master,,1140528,"TWSE recent listing endpoint; dated rows accepted, coverage remains incomplete.",
7722,LINEPAY,TWSE,listing,2024-12-05,2026-07-03,https://openapi.twse.com.tw/v1/company/newlisting,twse_company_newlisting,official_recent_listing_events,partial_event_row_not_full_master,,1131205,"TWSE recent listing endpoint; dated rows accepted, coverage remains incomplete.",
6962,ITH-KY,TWSE,listing,2024-11-26,2026-07-03,https://openapi.twse.com.tw/v1/company/newlisting,twse_company_newlisting,official_recent_listing_events,partial_event_row_not_full_master,,1131126,"TWSE recent listing endpoint; dated rows accepted, coverage remains incomplete.",
