ticker,blocked_field,blocked_reason,attempted_sources,next_bounded_step,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
1301,exact_exdate_payment_date_market_available_timestamp,t187ap39_40_routes_provide_dividend_distribution_resolution_candidates_but_do_not_materialize_exact_historical_exdate_payment_date_timestamp_for_total_return_posting,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,unlock_official_historical_exright_detail_or_material_information_detail_route_for_selected_ticker_event_dates,0,False,False,False,False,False,False,False,True,False
1301,capital_reduction_split_merger_share_conversion,capital_change_event_route_not_materialized_in_t187ap39_40_dividend_package,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,separate_official_capital_change_route_unlock_required_before_formal_total_return_ledger,0,False,False,False,False,False,False,False,True,False
2316,exact_exdate_payment_date_market_available_timestamp,t187ap39_40_routes_provide_dividend_distribution_resolution_candidates_but_do_not_materialize_exact_historical_exdate_payment_date_timestamp_for_total_return_posting,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,unlock_official_historical_exright_detail_or_material_information_detail_route_for_selected_ticker_event_dates,0,False,False,False,False,False,False,False,True,False
2316,capital_reduction_split_merger_share_conversion,capital_change_event_route_not_materialized_in_t187ap39_40_dividend_package,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,separate_official_capital_change_route_unlock_required_before_formal_total_return_ledger,0,False,False,False,False,False,False,False,True,False
2317,exact_exdate_payment_date_market_available_timestamp,t187ap39_40_routes_provide_dividend_distribution_resolution_candidates_but_do_not_materialize_exact_historical_exdate_payment_date_timestamp_for_total_return_posting,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,unlock_official_historical_exright_detail_or_material_information_detail_route_for_selected_ticker_event_dates,0,False,False,False,False,False,False,False,True,False
2317,capital_reduction_split_merger_share_conversion,capital_change_event_route_not_materialized_in_t187ap39_40_dividend_package,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,separate_official_capital_change_route_unlock_required_before_formal_total_return_ledger,0,False,False,False,False,False,False,False,True,False
2330,exact_exdate_payment_date_market_available_timestamp,t187ap39_40_routes_provide_dividend_distribution_resolution_candidates_but_do_not_materialize_exact_historical_exdate_payment_date_timestamp_for_total_return_posting,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,unlock_official_historical_exright_detail_or_material_information_detail_route_for_selected_ticker_event_dates,0,False,False,False,False,False,False,False,True,False
2330,capital_reduction_split_merger_share_conversion,capital_change_event_route_not_materialized_in_t187ap39_40_dividend_package,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,separate_official_capital_change_route_unlock_required_before_formal_total_return_ledger,0,False,False,False,False,False,False,False,True,False
2351,exact_exdate_payment_date_market_available_timestamp,t187ap39_40_routes_provide_dividend_distribution_resolution_candidates_but_do_not_materialize_exact_historical_exdate_payment_date_timestamp_for_total_return_posting,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,unlock_official_historical_exright_detail_or_material_information_detail_route_for_selected_ticker_event_dates,0,False,False,False,False,False,False,False,True,False
2351,capital_reduction_split_merger_share_conversion,capital_change_event_route_not_materialized_in_t187ap39_40_dividend_package,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,separate_official_capital_change_route_unlock_required_before_formal_total_return_ledger,0,False,False,False,False,False,False,False,True,False
2374,exact_exdate_payment_date_market_available_timestamp,t187ap39_40_routes_provide_dividend_distribution_resolution_candidates_but_do_not_materialize_exact_historical_exdate_payment_date_timestamp_for_total_return_posting,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,unlock_official_historical_exright_detail_or_material_information_detail_route_for_selected_ticker_event_dates,0,False,False,False,False,False,False,False,True,False
2374,capital_reduction_split_merger_share_conversion,capital_change_event_route_not_materialized_in_t187ap39_40_dividend_package,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,separate_official_capital_change_route_unlock_required_before_formal_total_return_ledger,0,False,False,False,False,False,False,False,True,False
2388,exact_exdate_payment_date_market_available_timestamp,t187ap39_40_routes_provide_dividend_distribution_resolution_candidates_but_do_not_materialize_exact_historical_exdate_payment_date_timestamp_for_total_return_posting,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,unlock_official_historical_exright_detail_or_material_information_detail_route_for_selected_ticker_event_dates,0,False,False,False,False,False,False,False,True,False
2388,capital_reduction_split_merger_share_conversion,capital_change_event_route_not_materialized_in_t187ap39_40_dividend_package,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,separate_official_capital_change_route_unlock_required_before_formal_total_return_ledger,0,False,False,False,False,False,False,False,True,False
2412,exact_exdate_payment_date_market_available_timestamp,t187ap39_40_routes_provide_dividend_distribution_resolution_candidates_but_do_not_materialize_exact_historical_exdate_payment_date_timestamp_for_total_return_posting,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,unlock_official_historical_exright_detail_or_material_information_detail_route_for_selected_ticker_event_dates,0,False,False,False,False,False,False,False,True,False
2412,capital_reduction_split_merger_share_conversion,capital_change_event_route_not_materialized_in_t187ap39_40_dividend_package,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,separate_official_capital_change_route_unlock_required_before_formal_total_return_ledger,0,False,False,False,False,False,False,False,True,False
2453,exact_exdate_payment_date_market_available_timestamp,t187ap39_40_routes_provide_dividend_distribution_resolution_candidates_but_do_not_materialize_exact_historical_exdate_payment_date_timestamp_for_total_return_posting,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,unlock_official_historical_exright_detail_or_material_information_detail_route_for_selected_ticker_event_dates,0,False,False,False,False,False,False,False,True,False
2453,capital_reduction_split_merger_share_conversion,capital_change_event_route_not_materialized_in_t187ap39_40_dividend_package,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,separate_official_capital_change_route_unlock_required_before_formal_total_return_ledger,0,False,False,False,False,False,False,False,True,False
2468,exact_exdate_payment_date_market_available_timestamp,t187ap39_40_routes_provide_dividend_distribution_resolution_candidates_but_do_not_materialize_exact_historical_exdate_payment_date_timestamp_for_total_return_posting,twse_t187ap39_L_dividend_distribution|twse_t187ap40_L_dividend_resolution|tpex_t187ap39_O_dividend_distribution|tpex_t187ap40_O_dividend_resolution,unlock_official_historical_exright_detail_or_material_information_detail_route_for_selected_ticker_event_dates,0,False,False,False,False,False,False,False,True,False
