period_id,period_type,target_snapshot_date,priority,expected_filename,preferred_source,reason,required_action
2022-01,monthly,2022-01-31,1,yuanta_0050_monthly_202201.pdf,yuanta_0050_monthly_report,missing_manual_pdf_or_not_accepted,"provide PDF, run intake, parse holdings, manual review, then mark accepted only after evidence is verified"
2022-Q1,quarterly,2022-03-31,1,yuanta_domestic_holdings_2022Q1.pdf,yuanta_domestic_quarterly_holdings,missing_manual_pdf_or_not_accepted,"provide PDF, run intake, parse holdings, manual review, then mark accepted only after evidence is verified"
2022-06,monthly,2022-06-30,2,yuanta_0050_monthly_202206.pdf,yuanta_0050_monthly_report,missing_manual_pdf_or_not_accepted,"provide PDF, run intake, parse holdings, manual review, then mark accepted only after evidence is verified"
2022-Q2,quarterly,2022-06-30,2,yuanta_domestic_holdings_2022Q2.pdf,yuanta_domestic_quarterly_holdings,missing_manual_pdf_or_not_accepted,"provide PDF, run intake, parse holdings, manual review, then mark accepted only after evidence is verified"
2022-12,monthly,2022-12-31,2,yuanta_0050_monthly_202212.pdf,yuanta_0050_monthly_report,missing_manual_pdf_or_not_accepted,"provide PDF, run intake, parse holdings, manual review, then mark accepted only after evidence is verified"
2023-03,monthly,2023-03-31,3,yuanta_0050_monthly_202303.pdf,yuanta_0050_monthly_report,missing_manual_pdf_or_not_accepted,"provide PDF, run intake, parse holdings, manual review, then mark accepted only after evidence is verified"
2023-Q1,quarterly,2023-03-31,3,yuanta_domestic_holdings_2023Q1.pdf,yuanta_domestic_quarterly_holdings,missing_manual_pdf_or_not_accepted,"provide PDF, run intake, parse holdings, manual review, then mark accepted only after evidence is verified"
2023-12,monthly,2023-12-31,3,yuanta_0050_monthly_202312.pdf,yuanta_0050_monthly_report,missing_manual_pdf_or_not_accepted,"provide PDF, run intake, parse holdings, manual review, then mark accepted only after evidence is verified"
2024-03,monthly,2024-03-31,4,yuanta_0050_monthly_202403.pdf,yuanta_0050_monthly_report,missing_manual_pdf_or_not_accepted,"provide PDF, run intake, parse holdings, manual review, then mark accepted only after evidence is verified"
2024-Q1,quarterly,2024-03-31,4,yuanta_domestic_holdings_2024Q1.pdf,yuanta_domestic_quarterly_holdings,missing_manual_pdf_or_not_accepted,"provide PDF, run intake, parse holdings, manual review, then mark accepted only after evidence is verified"
2024-12,monthly,2024-12-31,4,yuanta_0050_monthly_202412.pdf,yuanta_0050_monthly_report,missing_manual_pdf_or_not_accepted,"provide PDF, run intake, parse holdings, manual review, then mark accepted only after evidence is verified"
2025-03,monthly,2025-03-31,5,yuanta_0050_monthly_202503.pdf,yuanta_0050_monthly_report,missing_manual_pdf_or_not_accepted,"provide PDF, run intake, parse holdings, manual review, then mark accepted only after evidence is verified"
2025-Q1,quarterly,2025-03-31,5,yuanta_domestic_holdings_2025Q1.pdf,yuanta_domestic_quarterly_holdings,missing_manual_pdf_or_not_accepted,"provide PDF, run intake, parse holdings, manual review, then mark accepted only after evidence is verified"
2025-12,monthly,2025-12-31,5,yuanta_0050_monthly_202512.pdf,yuanta_0050_monthly_report,missing_manual_pdf_or_not_accepted,"provide PDF, run intake, parse holdings, manual review, then mark accepted only after evidence is verified"
