package,relative_path,size_mb,file_count,source_class,governance_disposition,raw_source_size_mb,large_shard_size_mb,cache_compatible_size_mb,largest_file,largest_file_size_mb,recommendation,delete_allowed,notes
radar_dynamic_pool1_market_cap_twse_route_tpex_full_sweep_20260703,outputs/radar_dynamic_pool1_market_cap_twse_route_tpex_full_sweep_20260703,3567.255,3172,formal_or_source_backed_normalized_candidate,keep_required_for_backtest,2.025,792.46,0.0,outputs/radar_dynamic_pool1_market_cap_twse_route_tpex_full_sweep_20260703/tpex_full_sweep_shards/accepted_tpex_market_cap_rows_2025-07.csv,7.118,保留 normalized rows/shards、manifest、readiness、future-data audit；raw source 可另列壓縮候選。,false,"{""intermediate_or_unknown"": {""count"": 4, ""size_mb"": 0.025}, ""large_local_shard"": {""count"": 141, ""size_mb"": 792.46}, ""normalized_or_attempt_ledger"": {""count"": 3004, ""size_mb"": 2772.207}, ""raw_source_archive"": {""count"": 9, ""size_mb"": 2.025}, ""source_manifest_or_governance_ledger"": {""count"": 14, ""size_mb"": 0.538}}"
radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703,outputs/radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703,1231.736,158,formal_or_source_backed_normalized_candidate,keep_required_for_backtest,0.0,1229.692,0.0,outputs/radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703/shards/accepted_liquidity_rows_2025_07.csv,11.115,保留 normalized rows/shards、manifest、readiness、future-data audit；raw source 可另列壓縮候選。,false,"{""intermediate_or_unknown"": {""count"": 2, ""size_mb"": 0.03}, ""large_local_shard"": {""count"": 140, ""size_mb"": 1229.692}, ""normalized_or_attempt_ledger"": {""count"": 5, ""size_mb"": 1.468}, ""source_manifest_or_governance_ledger"": {""count"": 11, ""size_mb"": 0.546}}"
radar_tw50_0050_pcf_daily_full_range_pit_candidate_201411_202312_20260629,outputs/radar_tw50_0050_pcf_daily_full_range_pit_candidate_201411_202312_20260629,174.588,4133,formal_or_source_backed_normalized_candidate,keep_required_for_backtest,46.922,0.0,0.0,outputs/radar_tw50_0050_pcf_daily_full_range_pit_candidate_201411_202312_20260629/validated_daily_pcf_candidate.csv,62.548,保留 normalized rows/shards、manifest、readiness、future-data audit；raw source 可另列壓縮候選。,false,"{""intermediate_or_unknown"": {""count"": 2, ""size_mb"": 0.023}, ""normalized_or_attempt_ledger"": {""count"": 7, ""size_mb"": 127.615}, ""raw_source_archive"": {""count"": 4118, ""size_mb"": 46.922}, ""source_manifest_or_governance_ledger"": {""count"": 6, ""size_mb"": 0.028}}"
radar_dynamic_pool1_quarterly_fundamentals_full_sweep_20260703,outputs/radar_dynamic_pool1_quarterly_fundamentals_full_sweep_20260703,156.281,211,formal_or_source_backed_normalized_candidate,keep_required_for_backtest,112.006,44.114,0.0,outputs/radar_dynamic_pool1_quarterly_fundamentals_full_sweep_20260703/shards/accepted_quarterly_fundamentals_rows_2025.csv,4.382,保留 normalized rows/shards、manifest、readiness、future-data audit；raw source 可另列壓縮候選。,false,"{""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.023}, ""large_local_shard"": {""count"": 12, ""size_mb"": 44.114}, ""normalized_or_attempt_ledger"": {""count"": 3, ""size_mb"": 0.114}, ""raw_source_archive"": {""count"": 182, ""size_mb"": 112.006}, ""source_manifest_or_governance_ledger"": {""count"": 13, ""size_mb"": 0.025}}"
radar_dynamic_pool1_mops_monthly_revenue_full_universe_pit_20260703,outputs/radar_dynamic_pool1_mops_monthly_revenue_full_universe_pit_20260703,97.396,30,formal_or_source_backed_normalized_candidate,keep_required_for_backtest,0.0,96.896,0.0,outputs/radar_dynamic_pool1_mops_monthly_revenue_full_universe_pit_20260703/accepted_monthly_revenue_rows_shards/accepted_monthly_revenue_rows_2025.csv,9.357,保留 normalized rows/shards、manifest、readiness、future-data audit；raw source 可另列壓縮候選。,false,"{""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.025}, ""large_local_shard"": {""count"": 12, ""size_mb"": 96.896}, ""normalized_or_attempt_ledger"": {""count"": 5, ""size_mb"": 0.456}, ""source_manifest_or_governance_ledger"": {""count"": 12, ""size_mb"": 0.019}}"
radar_tw50_0050_archived_html_crawler_201411_202312_20260629,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629,80.892,97,failed_or_superseded_route_attempt_evidence,archive_or_compress_candidates,80.701,0.0,0.0,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2023Q4_yuantaetfs_download_20240225083826_6_original_pdf_url.html,1.242,保留 summary/manifest/attempt logs；raw wrappers、HTML、PDF、browser artifact 可壓縮封存。,false,"{""intermediate_or_unknown"": {""count"": 3, ""size_mb"": 0.035}, ""normalized_or_attempt_ledger"": {""count"": 8, ""size_mb"": 0.15}, ""raw_source_archive"": {""count"": 81, ""size_mb"": 80.701}, ""source_manifest_or_governance_ledger"": {""count"": 5, ""size_mb"": 0.007}}"
radar_dynamic_pool1_twse_capital_stock_full_sweep_proxy_contract_20260703,outputs/radar_dynamic_pool1_twse_capital_stock_full_sweep_proxy_contract_20260703,79.858,114,formal_or_source_backed_normalized_candidate,keep_required_for_backtest,51.942,0.0,0.0,outputs/radar_dynamic_pool1_twse_capital_stock_full_sweep_proxy_contract_20260703/accepted_twse_capital_stock_rows.csv,27.699,保留 normalized rows/shards、manifest、readiness、future-data audit；raw source 可另列壓縮候選。,false,"{""intermediate_or_unknown"": {""count"": 4, ""size_mb"": 0.059}, ""normalized_or_attempt_ledger"": {""count"": 6, ""size_mb"": 27.815}, ""raw_source_archive"": {""count"": 91, ""size_mb"": 51.942}, ""source_manifest_or_governance_ledger"": {""count"": 13, ""size_mb"": 0.041}}"
radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629,outputs/radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629,76.558,659,failed_or_superseded_route_attempt_evidence,archive_or_compress_candidates,71.765,0.0,0.0,outputs/radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629/raw_sources/chrome_profile_phase8_persisted/Default/Cache/Cache_Data/data_3,4.008,保留 summary/manifest/attempt logs；raw wrappers、HTML、PDF、browser artifact 可壓縮封存。,false,"{""intermediate_or_unknown"": {""count"": 2, ""size_mb"": 0.041}, ""normalized_or_attempt_ledger"": {""count"": 10, ""size_mb"": 4.747}, ""raw_source_archive"": {""count"": 642, ""size_mb"": 71.765}, ""source_manifest_or_governance_ledger"": {""count"": 5, ""size_mb"": 0.005}}"
radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704,73.739,69,diagnostic_only_evidence,diagnostic_keep_optional,73.605,0.0,0.0,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/8210_TW_2024_8210_20250529F04.pdf,7.932,保留 evidence ledger、manifest、audit；raw PDF/HTML 可壓縮封存，不可刪除尚未備份資料。,false,"{""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.025}, ""normalized_or_attempt_ledger"": {""count"": 29, ""size_mb"": 0.082}, ""raw_source_archive"": {""count"": 29, ""size_mb"": 73.605}, ""source_manifest_or_governance_ledger"": {""count"": 10, ""size_mb"": 0.027}}"
radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629,outputs/radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629,59.912,439,failed_or_superseded_route_attempt_evidence,archive_or_compress_candidates,59.652,0.0,0.0,outputs/radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629/raw_sources/chrome_profile/Default/Download Service/Files/7d763d29-3d32-4ab5-b166-05ea22d3ab34,32.062,保留 summary/manifest/attempt logs；raw wrappers、HTML、PDF、browser artifact 可壓縮封存。,false,"{""intermediate_or_unknown"": {""count"": 3, ""size_mb"": 0.058}, ""normalized_or_attempt_ledger"": {""count"": 9, ""size_mb"": 0.197}, ""raw_source_archive"": {""count"": 422, ""size_mb"": 59.652}, ""source_manifest_or_governance_ledger"": {""count"": 5, ""size_mb"": 0.005}}"
radar_dynamic_pool1_sector_mainline_pit_full_sweep_and_tpex_reverse_20260703,outputs/radar_dynamic_pool1_sector_mainline_pit_full_sweep_and_tpex_reverse_20260703,49.723,41,diagnostic_only_evidence,diagnostic_keep_optional,0.053,48.824,0.0,outputs/radar_dynamic_pool1_sector_mainline_pit_full_sweep_and_tpex_reverse_20260703/shards/twse_sector_membership_2025.csv,4.519,保留 evidence ledger、manifest、audit；raw PDF/HTML 可壓縮封存，不可刪除尚未備份資料。,false,"{""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.027}, ""large_local_shard"": {""count"": 12, ""size_mb"": 48.824}, ""normalized_or_attempt_ledger"": {""count"": 6, ""size_mb"": 0.8}, ""raw_source_archive"": {""count"": 7, ""size_mb"": 0.053}, ""source_manifest_or_governance_ledger"": {""count"": 15, ""size_mb"": 0.019}}"
radar_dynamic_pool1_tpex_historical_full_sweep_20260703,outputs/radar_dynamic_pool1_tpex_historical_full_sweep_20260703,45.319,34,formal_or_source_backed_normalized_candidate,keep_required_for_backtest,0.0,20.617,0.0,outputs/radar_dynamic_pool1_tpex_historical_full_sweep_20260703/accepted_status_snapshot_rows.csv,20.615,保留 normalized rows/shards、manifest、readiness、future-data audit；raw source 可另列壓縮候選。,false,"{""intermediate_or_unknown"": {""count"": 2, ""size_mb"": 0.034}, ""large_local_shard"": {""count"": 11, ""size_mb"": 20.617}, ""normalized_or_attempt_ledger"": {""count"": 8, ""size_mb"": 22.512}, ""source_manifest_or_governance_ledger"": {""count"": 13, ""size_mb"": 2.156}}"
radar_dynamic_pool1_all_listed_liquid_universe_pit_daily_20260703,outputs/radar_dynamic_pool1_all_listed_liquid_universe_pit_daily_20260703,34.57,43,proxy_partial_or_blocked_evidence,diagnostic_keep_optional,13.702,0.0,0.0,outputs/radar_dynamic_pool1_all_listed_liquid_universe_pit_daily_20260703/accepted_liquidity_rows.csv,9.214,保留 package summary 與 readiness；依檔案型態分流 raw/archive 與 normalized rows。,false,"{""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.029}, ""normalized_or_attempt_ledger"": {""count"": 7, ""size_mb"": 20.818}, ""raw_source_archive"": {""count"": 24, ""size_mb"": 13.702}, ""source_manifest_or_governance_ledger"": {""count"": 11, ""size_mb"": 0.021}}"
radar_pool1b_price_cache_repair_20260704,outputs/radar_pool1b_price_cache_repair_20260704,12.265,61,formal_or_source_backed_normalized_candidate,keep_required_for_backtest,0.044,0.0,6.061,outputs/radar_pool1b_price_cache_repair_20260704/cache_compatible/completed_price_rows.csv,3.026,保留 normalized rows/shards、manifest、readiness、future-data audit；raw source 可另列壓縮候選。,false,"{""cache_compatible_candidate"": {""count"": 21, ""size_mb"": 6.061}, ""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.018}, ""normalized_or_attempt_ledger"": {""count"": 24, ""size_mb"": 6.122}, ""raw_source_archive"": {""count"": 1, ""size_mb"": 0.044}, ""source_manifest_or_governance_ledger"": {""count"": 14, ""size_mb"": 0.02}}"
radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629,9.981,107,failed_or_superseded_route_attempt_evidence,archive_or_compress_candidates,9.877,0.0,0.0,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2014Q4_yuanta_current_ratio_page_direct.html,1.056,保留 summary/manifest/attempt logs；raw wrappers、HTML、PDF、browser artifact 可壓縮封存。,false,"{""intermediate_or_unknown"": {""count"": 3, ""size_mb"": 0.022}, ""normalized_or_attempt_ledger"": {""count"": 8, ""size_mb"": 0.076}, ""raw_source_archive"": {""count"": 91, ""size_mb"": 9.877}, ""source_manifest_or_governance_ledger"": {""count"": 5, ""size_mb"": 0.006}}"
radar_dynamic_pool1_market_cap_pit_20260703,outputs/radar_dynamic_pool1_market_cap_pit_20260703,9.267,34,proxy_partial_or_blocked_evidence,diagnostic_keep_optional,9.058,0.0,0.0,outputs/radar_dynamic_pool1_market_cap_pit_20260703/raw_sources/tpex_dailyQuotes_2024-07-01.json,1.706,保留 package summary 與 readiness；依檔案型態分流 raw/archive 與 normalized rows。,false,"{""intermediate_or_unknown"": {""count"": 2, ""size_mb"": 0.023}, ""large_local_shard"": {""count"": 1, ""size_mb"": 0.0}, ""normalized_or_attempt_ledger"": {""count"": 5, ""size_mb"": 0.179}, ""raw_source_archive"": {""count"": 15, ""size_mb"": 9.058}, ""source_manifest_or_governance_ledger"": {""count"": 11, ""size_mb"": 0.007}}"
radar_dynamic_pool1_twse_market_cap_route_20260703,outputs/radar_dynamic_pool1_twse_market_cap_route_20260703,8.74,41,proxy_partial_or_blocked_evidence,diagnostic_keep_optional,8.258,0.0,0.0,outputs/radar_dynamic_pool1_twse_market_cap_route_20260703/raw_sources/t163sb05_sii_115q01_response.html,1.301,保留 package summary 與 readiness；依檔案型態分流 raw/archive 與 normalized rows。,false,"{""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.023}, ""normalized_or_attempt_ledger"": {""count"": 6, ""size_mb"": 0.451}, ""raw_source_archive"": {""count"": 25, ""size_mb"": 8.258}, ""source_manifest_or_governance_ledger"": {""count"": 9, ""size_mb"": 0.008}}"
