package,relative_path,size_mb,file_count,source_class,governance_disposition,raw_source_size_mb,large_shard_size_mb,cache_compatible_size_mb,largest_file,largest_file_size_mb,recommendation,delete_allowed,notes
radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703,outputs/radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703,1231.736,158,formal_or_source_backed_normalized_candidate,keep_required_for_backtest,0.0,1229.692,0.0,outputs/radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703/shards/accepted_liquidity_rows_2025_07.csv,11.115,保留 normalized rows/shards、manifest、readiness、future-data audit；raw source 可另列壓縮候選。,false,"{""intermediate_or_unknown"": {""count"": 2, ""size_mb"": 0.03}, ""large_local_shard"": {""count"": 140, ""size_mb"": 1229.692}, ""normalized_or_attempt_ledger"": {""count"": 5, ""size_mb"": 1.468}, ""source_manifest_or_governance_ledger"": {""count"": 11, ""size_mb"": 0.546}}"
radar_dynamic_pool1_listing_delisting_suspension_master_20260703,outputs/radar_dynamic_pool1_listing_delisting_suspension_master_20260703,4.958,29,formal_or_source_backed_normalized_candidate,keep_required_for_backtest,3.533,0.0,0.0,outputs/radar_dynamic_pool1_listing_delisting_suspension_master_20260703/raw_sources/twse_current_company_profile.json,1.259,保留 normalized rows/shards、manifest、readiness、future-data audit；raw source 可另列壓縮候選。,false,"{""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.032}, ""normalized_or_attempt_ledger"": {""count"": 6, ""size_mb"": 1.376}, ""raw_source_archive"": {""count"": 12, ""size_mb"": 3.533}, ""source_manifest_or_governance_ledger"": {""count"": 10, ""size_mb"": 0.016}}"
radar_dynamic_pool1_listing_master_completion_20260703,outputs/radar_dynamic_pool1_listing_master_completion_20260703,4.782,444,formal_or_source_backed_normalized_candidate,keep_required_for_backtest,1.385,0.0,0.0,outputs/radar_dynamic_pool1_listing_master_completion_20260703/accepted_suspension_event_rows.csv,1.786,保留 normalized rows/shards、manifest、readiness、future-data audit；raw source 可另列壓縮候選。,false,"{""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.039}, ""normalized_or_attempt_ledger"": {""count"": 8, ""size_mb"": 3.308}, ""raw_source_archive"": {""count"": 425, ""size_mb"": 1.385}, ""source_manifest_or_governance_ledger"": {""count"": 10, ""size_mb"": 0.051}}"
radar_dynamic_pool1_market_cap_twse_route_tpex_full_sweep_20260703,outputs/radar_dynamic_pool1_market_cap_twse_route_tpex_full_sweep_20260703,3567.255,3172,formal_or_source_backed_normalized_candidate,keep_required_for_backtest,2.025,792.46,0.0,outputs/radar_dynamic_pool1_market_cap_twse_route_tpex_full_sweep_20260703/tpex_full_sweep_shards/accepted_tpex_market_cap_rows_2025-07.csv,7.118,保留 normalized rows/shards、manifest、readiness、future-data audit；raw source 可另列壓縮候選。,false,"{""intermediate_or_unknown"": {""count"": 4, ""size_mb"": 0.025}, ""large_local_shard"": {""count"": 141, ""size_mb"": 792.46}, ""normalized_or_attempt_ledger"": {""count"": 3004, ""size_mb"": 2772.207}, ""raw_source_archive"": {""count"": 9, ""size_mb"": 2.025}, ""source_manifest_or_governance_ledger"": {""count"": 14, ""size_mb"": 0.538}}"
radar_dynamic_pool1_mops_monthly_revenue_full_universe_pit_20260703,outputs/radar_dynamic_pool1_mops_monthly_revenue_full_universe_pit_20260703,97.396,30,formal_or_source_backed_normalized_candidate,keep_required_for_backtest,0.0,96.896,0.0,outputs/radar_dynamic_pool1_mops_monthly_revenue_full_universe_pit_20260703/accepted_monthly_revenue_rows_shards/accepted_monthly_revenue_rows_2025.csv,9.357,保留 normalized rows/shards、manifest、readiness、future-data audit；raw source 可另列壓縮候選。,false,"{""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.025}, ""large_local_shard"": {""count"": 12, ""size_mb"": 96.896}, ""normalized_or_attempt_ledger"": {""count"": 5, ""size_mb"": 0.456}, ""source_manifest_or_governance_ledger"": {""count"": 12, ""size_mb"": 0.019}}"
radar_dynamic_pool1_quarterly_fundamentals_full_sweep_20260703,outputs/radar_dynamic_pool1_quarterly_fundamentals_full_sweep_20260703,156.281,211,formal_or_source_backed_normalized_candidate,keep_required_for_backtest,112.006,44.114,0.0,outputs/radar_dynamic_pool1_quarterly_fundamentals_full_sweep_20260703/shards/accepted_quarterly_fundamentals_rows_2025.csv,4.382,保留 normalized rows/shards、manifest、readiness、future-data audit；raw source 可另列壓縮候選。,false,"{""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.023}, ""large_local_shard"": {""count"": 12, ""size_mb"": 44.114}, ""normalized_or_attempt_ledger"": {""count"": 3, ""size_mb"": 0.114}, ""raw_source_archive"": {""count"": 182, ""size_mb"": 112.006}, ""source_manifest_or_governance_ledger"": {""count"": 13, ""size_mb"": 0.025}}"
radar_dynamic_pool1_tpex_historical_full_sweep_20260703,outputs/radar_dynamic_pool1_tpex_historical_full_sweep_20260703,45.319,34,formal_or_source_backed_normalized_candidate,keep_required_for_backtest,0.0,20.617,0.0,outputs/radar_dynamic_pool1_tpex_historical_full_sweep_20260703/accepted_status_snapshot_rows.csv,20.615,保留 normalized rows/shards、manifest、readiness、future-data audit；raw source 可另列壓縮候選。,false,"{""intermediate_or_unknown"": {""count"": 2, ""size_mb"": 0.034}, ""large_local_shard"": {""count"": 11, ""size_mb"": 20.617}, ""normalized_or_attempt_ledger"": {""count"": 8, ""size_mb"": 22.512}, ""source_manifest_or_governance_ledger"": {""count"": 13, ""size_mb"": 2.156}}"
radar_dynamic_pool1_tpex_suspension_transition_event_ledger_20260703,outputs/radar_dynamic_pool1_tpex_suspension_transition_event_ledger_20260703,1.564,15,formal_or_source_backed_normalized_candidate,keep_required_for_backtest,0.0,0.0,0.0,outputs/radar_dynamic_pool1_tpex_suspension_transition_event_ledger_20260703/transition_event_candidates.csv,0.743,保留 normalized rows/shards、manifest、readiness、future-data audit；raw source 可另列壓縮候選。,false,"{""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.024}, ""normalized_or_attempt_ledger"": {""count"": 6, ""size_mb"": 1.533}, ""source_manifest_or_governance_ledger"": {""count"": 8, ""size_mb"": 0.007}}"
radar_dynamic_pool1_twse_capital_stock_full_sweep_proxy_contract_20260703,outputs/radar_dynamic_pool1_twse_capital_stock_full_sweep_proxy_contract_20260703,79.858,114,formal_or_source_backed_normalized_candidate,keep_required_for_backtest,51.942,0.0,0.0,outputs/radar_dynamic_pool1_twse_capital_stock_full_sweep_proxy_contract_20260703/accepted_twse_capital_stock_rows.csv,27.699,保留 normalized rows/shards、manifest、readiness、future-data audit；raw source 可另列壓縮候選。,false,"{""intermediate_or_unknown"": {""count"": 4, ""size_mb"": 0.059}, ""normalized_or_attempt_ledger"": {""count"": 6, ""size_mb"": 27.815}, ""raw_source_archive"": {""count"": 91, ""size_mb"": 51.942}, ""source_manifest_or_governance_ledger"": {""count"": 13, ""size_mb"": 0.041}}"
radar_pool1b_price_cache_repair_20260704,outputs/radar_pool1b_price_cache_repair_20260704,12.265,61,formal_or_source_backed_normalized_candidate,keep_required_for_backtest,0.044,0.0,6.061,outputs/radar_pool1b_price_cache_repair_20260704/cache_compatible/completed_price_rows.csv,3.026,保留 normalized rows/shards、manifest、readiness、future-data audit；raw source 可另列壓縮候選。,false,"{""cache_compatible_candidate"": {""count"": 21, ""size_mb"": 6.061}, ""intermediate_or_unknown"": {""count"": 1, ""size_mb"": 0.018}, ""normalized_or_attempt_ledger"": {""count"": 24, ""size_mb"": 6.122}, ""raw_source_archive"": {""count"": 1, ""size_mb"": 0.044}, ""source_manifest_or_governance_ledger"": {""count"": 14, ""size_mb"": 0.02}}"
