file,bytes,sha256
authority_scope_guard_audit.csv,230,c792cabaefecf39bea91db4f3c34b8e4a6979d9da4a6c2cee508b08f859676ef
current_step.txt,33,55d163de55ee0acc17318fd429c24141821846321a9195035c26891dfa4ad21d
frontier_bounded_route_plan.csv,1632,da1924f7f6b4374ca7de6c80126afa3ad3ce894dde22d97f600e14ea0f480921
frontier_future_data_audit.csv,277,5bc230447234fddf1623ce117125b35f74f4bf29aa2e9228ef686aab60898212
frontier_official_no_trade_ledger.csv,698,f1f2949958830a4e4c95e008ba7cf6f8380e33f09491f256c02fa0d1c175012a
frontier_official_raw_accepted_patch.csv,13167,84959a6768530f0fa0533255c40b14aa722914619717c0986da7c4ad3dc188d4
frontier_official_raw_bounded_fill_patch.csv,1443,7e721a0b9eff4d7dcf4cda4845715e8eb5111185f3ad9f2a5d7fe1d513310473
frontier_official_raw_local_reuse_patch.csv,11961,a12b0398833d7b1d1f383607f96b6c2876e776923a4553c98c986210a0ee46f4
frontier_remaining_blocked.csv,120,8478e396e7bdfb53093b5c9d6ed31e6c733eedbfc21d96f180a4bd176f6fc701
frontier_source_manifest.csv,2886,79d82a4eec3aef4910cbfcd442b5434bd9c36ac40c1365a90592510c5a1facbb
incumbent_continuity_classification_summary.csv,672,3d59f9168b00b85ca4a726d0df4febca7446a7162f341c5a46c8fc7058f82702
incumbent_continuity_local_classification.csv.gz,537309,e6da806efcf8917cf5d0f98bccacb008a51ebe93bdf6772045ee3f0bcf48dd0b
incumbent_local_registry_exact_key_reuse.csv.gz,388162,2f3eb4aa21ac9e54fe01eda5101cfd3158e6fd9365575037e542575f29faaec6
progress.json,542,704d3756481ed94ab254b5d949aee2f0a667f2b5f45d7e2acd9eab908d8956ad
run_frontier_local_audit_bounded_fill.py,38351,efbf2b4c07835620ae0bc4ecfead18650fedab1b12ad1a8ccbdd6a469227dc2f
