symbol,ticker,exchange,name,theme,role,gap_reason,required_evidence,needs_manual_review,research_only_fallback,checked_at
1536,1536.TW,TWSE,和大,車用電子,車用傳動零件,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
1590,1590.TW,TWSE,亞德客-KY,機器人/自動化,氣動元件/自動化,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
1815,1815.TWO,TPEx,富喬,PCB/載板,玻纖布/材料,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2049,2049.TW,TWSE,上銀,機器人/自動化,線性傳動,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2231,2231.TW,TWSE,為升,車用電子,車用電子,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2301,2301.TW,TWSE,光寶科,AI伺服器/ODM,伺服器電源/系統零組件,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2308,2308.TW,TWSE,台達電,電源/BBU,伺服器電源/電源管理,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2313,2313.TW,TWSE,華通,PCB/載板,PCB,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2316,2316.TW,TWSE,楠梓電,PCB/載板,PCB,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2317,2317.TW,TWSE,鴻海,AI伺服器/ODM,AI 伺服器系統組裝,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2356,2356.TW,TWSE,英業達,AI伺服器/ODM,伺服器 ODM,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2357,2357.TW,TWSE,華碩,AI伺服器/ODM,伺服器/品牌硬體,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2359,2359.TW,TWSE,所羅門,機器人/自動化,機器視覺/自動化,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
