queue_id,batch_id,priority,symbol,ticker,exchange,name,theme,subtheme,membership_role,gap_reason,required_evidence,recommended_source_types,collection_status,assigned_to,review_status,evidence_id,notes,created_at,updated_at
TMEMQ-V2-B01-1815-PCB,batch_01,1,1815,1815.TWO,TPEx,富喬,PCB/載板,玻纖布/材料,watchlist,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",mops_company_filing;annual_report_segment;investor_conference_material;company_product_page_archived;monthly_revenue_note;dated_news_article,sample_schema_checked,,draft,TMEM-V2-SAMPLE-1815-PCB-001,Phase 1 sample row selected to verify queue and review flow; still not formal evidence.,2026-06-19T12:47:29+00:00,2026-06-19T12:47:29+00:00
TMEMQ-V2-B01-2313-PCB,batch_01,1,2313,2313.TW,TWSE,華通,PCB/載板,PCB,watchlist,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",mops_company_filing;annual_report_segment;investor_conference_material;company_product_page_archived;monthly_revenue_note;dated_news_article,sample_schema_checked,,draft,TMEM-V2-SAMPLE-2313-PCB-001,Phase 1 sample row selected to verify queue and review flow; still not formal evidence.,2026-06-19T12:47:29+00:00,2026-06-19T12:47:29+00:00
TMEMQ-V2-B01-2316-PCB,batch_01,1,2316,2316.TW,TWSE,楠梓電,PCB/載板,PCB,watchlist,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",mops_company_filing;annual_report_segment;investor_conference_material;company_product_page_archived;monthly_revenue_note;dated_news_article,sample_schema_checked,,draft,TMEM-V2-SAMPLE-2316-PCB-001,Phase 1 sample row selected to verify queue and review flow; still not formal evidence.,2026-06-19T12:47:29+00:00,2026-06-19T12:47:29+00:00
TMEMQ-V2-B01-2367-PCB,batch_01,1,2367,2367.TW,TWSE,燿華,PCB/載板,PCB,watchlist,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",mops_company_filing;annual_report_segment;investor_conference_material;company_product_page_archived;monthly_revenue_note;dated_news_article,sample_schema_checked,,draft,TMEM-V2-SAMPLE-2367-PCB-001,Phase 1 sample row selected to verify queue and review flow; still not formal evidence.,2026-06-19T12:47:29+00:00,2026-06-19T12:47:29+00:00
TMEMQ-V2-B01-2368-PCB,batch_01,1,2368,2368.TW,TWSE,金像電,PCB/載板,AI 伺服器 PCB,watchlist,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",mops_company_filing;annual_report_segment;investor_conference_material;company_product_page_archived;monthly_revenue_note;dated_news_article,sample_schema_checked,,draft,TMEM-V2-SAMPLE-2368-PCB-001,Phase 1 sample row selected to verify queue and review flow; still not formal evidence.,2026-06-19T12:47:29+00:00,2026-06-19T12:47:29+00:00
TMEMQ-V2-B01-2383-PCB,batch_01,1,2383,2383.TW,TWSE,台光電,PCB/載板,CCL,watchlist,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",mops_company_filing;annual_report_segment;investor_conference_material;company_product_page_archived;monthly_revenue_note;dated_news_article,queued,,draft,,Needs dated evidence before formal replay. Current static theme_map remains research-only.,2026-06-19T12:47:29+00:00,2026-06-19T12:47:29+00:00
TMEMQ-V2-B01-3037-PCB,batch_01,1,3037,3037.TW,TWSE,欣興,PCB/載板,ABF 載板/PCB,watchlist,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",mops_company_filing;annual_report_segment;investor_conference_material;company_product_page_archived;monthly_revenue_note;dated_news_article,queued,,draft,,Needs dated evidence before formal replay. Current static theme_map remains research-only.,2026-06-19T12:47:29+00:00,2026-06-19T12:47:29+00:00
TMEMQ-V2-B01-3044-PCB,batch_01,1,3044,3044.TW,TWSE,健鼎,PCB/載板,PCB,watchlist,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",mops_company_filing;annual_report_segment;investor_conference_material;company_product_page_archived;monthly_revenue_note;dated_news_article,queued,,draft,,Needs dated evidence before formal replay. Current static theme_map remains research-only.,2026-06-19T12:47:29+00:00,2026-06-19T12:47:29+00:00
TMEMQ-V2-B01-3189-PCB,batch_01,1,3189,3189.TW,TWSE,景碩,PCB/載板,IC 載板,watchlist,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",mops_company_filing;annual_report_segment;investor_conference_material;company_product_page_archived;monthly_revenue_note;dated_news_article,queued,,draft,,Needs dated evidence before formal replay. Current static theme_map remains research-only.,2026-06-19T12:47:29+00:00,2026-06-19T12:47:29+00:00
TMEMQ-V2-B01-4958-PCB,batch_01,1,4958,4958.TW,TWSE,臻鼎-KY,PCB/載板,PCB,watchlist,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",mops_company_filing;annual_report_segment;investor_conference_material;company_product_page_archived;monthly_revenue_note;dated_news_article,queued,,draft,,Needs dated evidence before formal replay. Current static theme_map remains research-only.,2026-06-19T12:47:29+00:00,2026-06-19T12:47:29+00:00
TMEMQ-V2-B02-5439-PCB,batch_02,1,5439,5439.TWO,TPEx,高技,PCB/載板,PCB,watchlist,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",mops_company_filing;annual_report_segment;investor_conference_material;company_product_page_archived;monthly_revenue_note;dated_news_article,queued,,draft,,Needs dated evidence before formal replay. Current static theme_map remains research-only.,2026-06-19T12:47:29+00:00,2026-06-19T12:47:29+00:00
TMEMQ-V2-B02-6213-PCB,batch_02,1,6213,6213.TW,TWSE,聯茂,PCB/載板,CCL,watchlist,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",mops_company_filing;annual_report_segment;investor_conference_material;company_product_page_archived;monthly_revenue_note;dated_news_article,queued,,draft,,Needs dated evidence before formal replay. Current static theme_map remains research-only.,2026-06-19T12:47:29+00:00,2026-06-19T12:47:29+00:00
TMEMQ-V2-B02-6274-PCB,batch_02,1,6274,6274.TWO,TPEx,台燿,PCB/載板,CCL,watchlist,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",mops_company_filing;annual_report_segment;investor_conference_material;company_product_page_archived;monthly_revenue_note;dated_news_article,queued,,draft,,Needs dated evidence before formal replay. Current static theme_map remains research-only.,2026-06-19T12:47:29+00:00,2026-06-19T12:47:29+00:00
TMEMQ-V2-B02-8046-PCB,batch_02,1,8046,8046.TW,TWSE,南電,PCB/載板,ABF 載板,watchlist,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",mops_company_filing;annual_report_segment;investor_conference_material;company_product_page_archived;monthly_revenue_note;dated_news_article,queued,,draft,,Needs dated evidence before formal replay. Current static theme_map remains research-only.,2026-06-19T12:47:29+00:00,2026-06-19T12:47:29+00:00
TMEMQ-V2-B02-8358-PCB,batch_02,1,8358,8358.TWO,TPEx,金居,PCB/載板,銅箔/材料,watchlist,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",mops_company_filing;annual_report_segment;investor_conference_material;company_product_page_archived;monthly_revenue_note;dated_news_article,queued,,draft,,Needs dated evidence before formal replay. Current static theme_map remains research-only.,2026-06-19T12:47:29+00:00,2026-06-19T12:47:29+00:00
