symbol,name,current_theme,missing_field,missing_reason,suggested_source,checked_at
1536,和大,車用電子,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
1590,亞德客-KY,機器人/自動化,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
1815,富喬,PCB/載板,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2049,上銀,機器人/自動化,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2231,為升,車用電子,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2301,光寶科,電源/BBU,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2308,台達電,車用電子,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2313,華通,PCB/載板,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2316,楠梓電,PCB/載板,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2317,鴻海,AI伺服器/ODM,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2337,旺宏,記憶體,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2344,華邦電,記憶體,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2356,英業達,AI伺服器/ODM,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2357,華碩,AI伺服器/ODM,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2359,所羅門,機器人/自動化,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2367,燿華,PCB/載板,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2368,金像電,PCB/載板,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2376,技嘉,AI伺服器/ODM,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2379,瑞昱,ASIC/IP,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2382,廣達,AI伺服器/ODM,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2383,台光電,PCB/載板,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
