candidate_id,source_file,page_url,page_title,function_or_config,pattern,action,endpoint_url,method,params_detected,date_parameter,evidence,acceptance_scope
tables_js_bxRport_submit,raw_sources/js/tables.js,,shared table runner,bxRport.init / #u / #k,API_PATTERN or /{LANG}/{ACTION},<page tables.init action>,https://www.tpex.org.tw/www/zh-tw/<action>,POST,"form serialized fields + response=json; serverPaging adds paging-offset,paging-size,paging-table,paging-order,paging-dir","page form input names such as date,startDate,endDate",tables.js derives apiAction from pattern/action and posts JSON request.,contract only
menu_json_official_page_index,raw_sources/json/www_tpex_org_tw_data_menu_zh_tw_menu_json.json,https://www.tpex.org.tw/data/menu/zh-tw/menu.json,official menu JSON,_init_sitemap / _get_json,menu link inventory,,,GET,,,"menu JSON revealed valid status/listing pages such as /mainboard/trading/info/altered.html, /mainboard/listed/delisted.html, /announce/market/halt.html.",route discovery
page_action_bulletin_attention,raw_sources/html/www_tpex_org_tw_zh_tw_announce_market_attention_html.html,https://www.tpex.org.tw/zh/tw/announce/market/attention/html,上櫃公布注意有價證券資訊 - 證券櫃檯買賣中心,tables.init inline config,API_PATTERN=/www/{LANG}/{ACTION},bulletin/attention,https://www.tpex.org.tw/www/zh-tw/bulletin/attention,POST,query;query;startDate:format=D:start=20020201:value=;endDate:format=D:start=20020201:value=;type:value=code;code:value=;type:value=cate;cate;type:value=all;order:value=date;order:value=code,"startDate:format=D:start=20020201:value=,endDate:format=D:start=20020201:value=,order:value=date",tables.init action=bulletin/attention; option=api/tpexList; title=上櫃公布注意有價證券資訊 - 證券櫃檯買賣中心,route_evidence_only
page_action_bulletin_disposal,raw_sources/html/www_tpex_org_tw_zh_tw_announce_market_disposal_html.html,https://www.tpex.org.tw/zh/tw/announce/market/disposal/html,上櫃處置有價證券資訊 - 證券櫃檯買賣中心,tables.init inline config,API_PATTERN=/www/{LANG}/{ACTION},bulletin/disposal,https://www.tpex.org.tw/www/zh-tw/bulletin/disposal,POST,query;query;startDate:format=D:start=20030901:value=;endDate:format=D:start=20030901:value=;type:value=code;code:value=;type:value=cate;cate;type:value=all;reason;measure;order:value=date;order:value=code,"startDate:format=D:start=20030901:value=,endDate:format=D:start=20030901:value=,order:value=date",tables.init action=bulletin/disposal; option=api/tpexList; title=上櫃處置有價證券資訊 - 證券櫃檯買賣中心,route_evidence_only
page_action_bulletin_annDownload,raw_sources/html/www_tpex_org_tw_zh_tw_announce_market_download_html.html,https://www.tpex.org.tw/zh/tw/announce/market/download/html,公告資料下載 - 證券櫃檯買賣中心,tables.init inline config,API_PATTERN=/www/{LANG}/{ACTION},bulletin/annDownload,https://www.tpex.org.tw/www/zh-tw/bulletin/annDownload,POST,query;query;startDate:format=D:start=20021101:value=;endDate:format=D:start=20021101:value=,"startDate:format=D:start=20021101:value=,endDate:format=D:start=20021101:value=",tables.init action=bulletin/annDownload; option=; title=公告資料下載 - 證券櫃檯買賣中心,route_evidence_only
page_action_bulletin_sprc,raw_sources/html/www_tpex_org_tw_zh_tw_announce_market_halt_html.html,https://www.tpex.org.tw/zh/tw/announce/market/halt/html,公布暫停/恢復交易有價證券 - 證券櫃檯買賣中心,tables.init inline config,API_PATTERN=/www/{LANG}/{ACTION},bulletin/sprc,https://www.tpex.org.tw/www/zh-tw/bulletin/sprc,POST,query;query,,tables.init action=bulletin/sprc; option=; title=公布暫停/恢復交易有價證券 - 證券櫃檯買賣中心,route_evidence_only
page_action_bulletin_warning,raw_sources/html/www_tpex_org_tw_zh_tw_announce_market_warning_html.html,https://www.tpex.org.tw/zh/tw/announce/market/warning/html,上櫃公布注意累計次數異常資訊 - 證券櫃檯買賣中心,tables.init inline config,API_PATTERN=/www/{LANG}/{ACTION},bulletin/warning,https://www.tpex.org.tw/www/zh-tw/bulletin/warning,POST,query;query,,tables.init action=bulletin/warning; option=; title=上櫃公布注意累計次數異常資訊 - 證券櫃檯買賣中心,route_evidence_only
page_action_company_applicant,raw_sources/html/www_tpex_org_tw_zh_tw_mainboard_applying_status_company_html.html,https://www.tpex.org.tw/zh/tw/mainboard/applying/status/company/html,申請上櫃公司 - 證券櫃檯買賣中心,tables.init inline config,API_PATTERN=/www/{LANG}/{ACTION},company/applicant,https://www.tpex.org.tw/www/zh-tw/company/applicant,POST,query;query;code:value=;date:format=YA:start=:value=,date:format=YA:start=:value=,tables.init action=company/applicant; option=; title=申請上櫃公司 - 證券櫃檯買賣中心,route_evidence_only
page_action_company_applicantStat,raw_sources/html/www_tpex_org_tw_zh_tw_mainboard_applying_status_new_listed_html.html,https://www.tpex.org.tw/zh/tw/mainboard/applying/status/new/listed/html,新上櫃(申請)公司一覽表 - 證券櫃檯買賣中心,tables.init inline config,API_PATTERN=/www/{LANG}/{ACTION},company/applicantStat,https://www.tpex.org.tw/www/zh-tw/company/applicantStat,POST,query;query;date:format=Y:start=20050101:value=,date:format=Y:start=20050101:value=,tables.init action=company/applicantStat; option=; title=新上櫃(申請)公司一覽表 - 證券櫃檯買賣中心,accepted_candidate
page_action_company_deListed,raw_sources/html/www_tpex_org_tw_zh_tw_mainboard_listed_delisted_html.html,https://www.tpex.org.tw/zh/tw/mainboard/listed/delisted/html,終止上櫃公司 - 證券櫃檯買賣中心,tables.init inline config,API_PATTERN=/www/{LANG}/{ACTION},company/deListed,https://www.tpex.org.tw/www/zh-tw/company/deListed,POST,query;query;code:value=;date:format=YA:start=20210101:value=;reason,date:format=YA:start=20210101:value=,tables.init action=company/deListed; option=; title=終止上櫃公司 - 證券櫃檯買賣中心,accepted_candidate
