year,market,coverage_status,accepted_rows,formal_master_ready,notes
2015,TWSE,carried_forward_stronger_partial_from_previous_package,carried_forward,false,TWSE rows are carried forward from radar_dynamic_pool1_listing_master_completion_20260703; this task did not rerun TWSE full daily TWT85U.
2015,TPEx,blocked_no_accepted_historical_rows,0,false,No accepted TPEx historical rows acquired for this year in this package.
2016,TWSE,carried_forward_stronger_partial_from_previous_package,carried_forward,false,TWSE rows are carried forward from radar_dynamic_pool1_listing_master_completion_20260703; this task did not rerun TWSE full daily TWT85U.
2016,TPEx,blocked_no_accepted_historical_rows,0,false,No accepted TPEx historical rows acquired for this year in this package.
2017,TWSE,carried_forward_stronger_partial_from_previous_package,carried_forward,false,TWSE rows are carried forward from radar_dynamic_pool1_listing_master_completion_20260703; this task did not rerun TWSE full daily TWT85U.
2017,TPEx,blocked_no_accepted_historical_rows,0,false,No accepted TPEx historical rows acquired for this year in this package.
2018,TWSE,carried_forward_stronger_partial_from_previous_package,carried_forward,false,TWSE rows are carried forward from radar_dynamic_pool1_listing_master_completion_20260703; this task did not rerun TWSE full daily TWT85U.
2018,TPEx,blocked_no_accepted_historical_rows,0,false,No accepted TPEx historical rows acquired for this year in this package.
2019,TWSE,carried_forward_stronger_partial_from_previous_package,carried_forward,false,TWSE rows are carried forward from radar_dynamic_pool1_listing_master_completion_20260703; this task did not rerun TWSE full daily TWT85U.
2019,TPEx,blocked_no_accepted_historical_rows,0,false,No accepted TPEx historical rows acquired for this year in this package.
2020,TWSE,carried_forward_stronger_partial_from_previous_package,carried_forward,false,TWSE rows are carried forward from radar_dynamic_pool1_listing_master_completion_20260703; this task did not rerun TWSE full daily TWT85U.
2020,TPEx,blocked_no_accepted_historical_rows,0,false,No accepted TPEx historical rows acquired for this year in this package.
2021,TWSE,carried_forward_stronger_partial_from_previous_package,carried_forward,false,TWSE rows are carried forward from radar_dynamic_pool1_listing_master_completion_20260703; this task did not rerun TWSE full daily TWT85U.
2021,TPEx,blocked_no_accepted_historical_rows,0,false,No accepted TPEx historical rows acquired for this year in this package.
2022,TWSE,carried_forward_stronger_partial_from_previous_package,carried_forward,false,TWSE rows are carried forward from radar_dynamic_pool1_listing_master_completion_20260703; this task did not rerun TWSE full daily TWT85U.
2022,TPEx,blocked_no_accepted_historical_rows,0,false,No accepted TPEx historical rows acquired for this year in this package.
2023,TWSE,carried_forward_stronger_partial_from_previous_package,carried_forward,false,TWSE rows are carried forward from radar_dynamic_pool1_listing_master_completion_20260703; this task did not rerun TWSE full daily TWT85U.
2023,TPEx,blocked_no_accepted_historical_rows,0,false,No accepted TPEx historical rows acquired for this year in this package.
2024,TWSE,carried_forward_stronger_partial_from_previous_package,carried_forward,false,TWSE rows are carried forward from radar_dynamic_pool1_listing_master_completion_20260703; this task did not rerun TWSE full daily TWT85U.
2024,TPEx,blocked_no_accepted_historical_rows,0,false,No accepted TPEx historical rows acquired for this year in this package.
2025,TWSE,carried_forward_stronger_partial_from_previous_package,carried_forward,false,TWSE rows are carried forward from radar_dynamic_pool1_listing_master_completion_20260703; this task did not rerun TWSE full daily TWT85U.
2025,TPEx,blocked_no_accepted_historical_rows,0,false,No accepted TPEx historical rows acquired for this year in this package.
2026,TWSE,carried_forward_stronger_partial_from_previous_package,carried_forward,false,TWSE rows are carried forward from radar_dynamic_pool1_listing_master_completion_20260703; this task did not rerun TWSE full daily TWT85U.
2026,TPEx,current_year_partial_carried_forward_only,236,false,TPEx 2026 suspension/resumption rows exist from previous OpenAPI current-year output; not a 2015-2025 historical solution.
