dataset,source_id,source_name,source_path_or_url,source_type,official_proxy_manual,coverage_start,coverage_end,row_count,symbol_count,source_date_available,release_date_available,effective_date_available,formal_ready,partial_ready,diagnostic_only,decision,acceptance_decision,next_programmatic_source,notes
all_listed_liquid_universe_pit_daily,twse_tpex_full_market_daily_candidate,TWSE/TPEx daily full-market trading files,TWSE/TPEx official daily trading APIs/files,official_candidate,official,2015-01-01,2026-latest,,,true,not_required_for_daily_trade_file_if_trade_date_is_source_date,true,false,false,false,blocked_until_acquired,blocked_until_acquired,Bounded downloader for TWSE MI_INDEX/STOCK_DAY/all-market CSV and TPEx daily quotes; add listing/delisting/suspension metadata.,Needed to build all-listed liquid tradable universe; current generated universe cannot be backfilled.
monthly_revenue_pit,radar_mops_monthly_revenue_v1,MOPS monthly revenue PIT v1,data/formal_sources/point_in_time_fundamentals_monthly_revenue_20211201_20231231.csv,point_in_time_limited,official,2021-11-10,2023-12-11,1794,69,true,true,true,false,true,false,accepted_partial_existing_universe,accepted_partial_existing_universe,Extend existing MOPS monthly revenue fetcher to all-listed universe and 2015-latest with available_date/release_date.,"Good source pattern, but current file covers formal universe 2021-12~2023-12 only, not all-listed Dynamic Pool1."
quarterly_fundamentals_pit,mops_quarterly_financials_xbrl_candidate,MOPS quarterly financial statements / XBRL candidate,"MOPS financial statements, XBRL, financial summary endpoints",official_candidate,official,2015-01-01,2026-latest,,,unknown_until_acquired,required_not_acquired,required_not_acquired,false,false,false,blocked,blocked,Probe MOPS/XBRL financial statement endpoints by company/quarter and capture announcement or filing date.,Backtest factor package still marks valuation/fundamentals PIT blocked.
historical_market_cap_pit,official_turnover_plus_price_candidate,market cap from date-aware shares outstanding + close price candidate,Need shares outstanding PIT source plus price history,derived_candidate,proxy_until_shares_source_accepted,,,,,required_not_acquired,required_not_acquired,required_not_acquired,false,false,true,blocked_current_snapshot_only,blocked_current_snapshot_only,"Acquire capital/share outstanding PIT from MOPS/TWSE capital changes, then combine with date-aware prices.",Current market cap or refreshed stock metrics cannot be used as historical PIT.
sector_membership_pit,radar_2015_2021_sector_mainline_contract,2015-2021 sector/mainline PIT contract package,outputs/radar_2015_2021_sector_mainline_pit_contract_20260703,contract_blocked,manual_evidence_candidate,2015-01-01,2021-12-31,6,,true_for_partial_rows_only,not_required,true_for_partial_rows_only,false,false,false,blocked,blocked,MOPS annual reports/prospectuses/company formal filings and any official historical industry classification archive.,Current sector/theme maps excluded; 2015-2021 all years blocked.
sector_breadth_pit_daily,sector_breadth_from_membership_and_liquidity_candidate,Derived sector/mainline breadth daily candidate,Derived only after membership and liquid universe are accepted,derived_candidate,derived,,,0,,inherits_underlying_sources,not_required,inherits_underlying_sources,false,false,false,blocked,blocked,Build after all-listed liquidity and PIT sector/mainline membership are accepted.,Cannot be safely derived from current static maps.
all_listed_liquid_universe_pit_daily,radar_official_turnover_v1,Radar official turnover v1,data/formal_sources/official_turnover_20211201_20231231.csv,official_partial_with_gap_report,official,2021-12-01,2023-12-29,34937,69,true,not_required_for_daily_official_turnover,true,false,true,false,accepted_partial_turnover_component,accepted_partial_turnover_component,Extend official turnover ingestion to all-listed universe and 2015-latest.,"Useful daily official turnover component for liquidity screening, but not enough for an all-listed PIT tradable universe without listing/delisting/suspension metadata."
all_listed_liquid_universe_pit_daily,radar_0050_pcf_daily_full_range,Yuanta 0050 PCF/Daily full-range PIT candidate,outputs/radar_tw50_0050_pcf_daily_full_range_pit_candidate_201411_202312_20260629,source_backed_manual_candidate,manual_proxy,2014-11-03,2023-12-29,112200,0,true,not_required,true,false,false,true,proxy_not_dynamic_pool1,proxy_not_dynamic_pool1,Do not use for all-listed Dynamic Pool1; keep as 0050 holdings PIT candidate only.,"Useful for 0050/TW50 work, not all-listed dynamic Pool1 universe."
all_listed_liquid_universe_pit_daily,radar_0050_missing_price_4tickers,0050 PIT missing price coverage 4 tickers,outputs/radar_0050_pit_missing_price_coverage_4tickers_20260629,official_twse_unadjusted_ohlcv,official,2014-11-28,2019-09-27,4,0,true,not_required_for_daily_price,true,false,false,true,price_component_only,price_component_only,Do not treat four tickers as all-listed universe; extend TWSE/TPEx full-market daily downloader.,Backfills 0050 PIT price blocker only; adjusted_close unavailable.
quarterly_fundamentals_pit,backtest_factor_2024_2026_valuation_blocked,Backtest factor package 2024-2026 valuation status,data/formal_sources/backtest_factor_2024_2026/readiness.json,readiness_evidence,official_partial_other_factors,2024-01-02,2026-05-26,,7,false_for_valuation,false_for_valuation,false_for_valuation,false,false,false,confirms_quarterly_fundamentals_blocked,confirms_quarterly_fundamentals_blocked,MOPS/XBRL quarterly financial statements with filing/release date.,"Institutional/margin/day-trading are ready for 7 stocks, but valuation/fundamentals PIT remains blocked."
