field,category,local_source,route,status,pit_timing,coverage,future_data_risk,core_ingest_recommendation
market_cap,size,TPEx full daily market cap candidate + TWSE capital stock proxy contract,TPEx dailyQuotes full sweep; TWSE capital stock quarterly proxy; TWSE direct daily market cap route still blocked,proxy,TPEx trading-date source_date; TWSE quarterly available/asof proxy requires Core policy,"TPEx full sweep 2015-latest 2,123,871 rows; TWSE capital stock 43,705 rows / 1,079 symbols",low if source_date/available_date and lag policy are enforced; medium for TWSE proxy normalization,"partial refreshed PIT contract candidate, not exact market cap"
free_float_market_cap,size,none,external official/semi-official free-float shares route needed; TWSE/TPEx public float not materialized locally,blocked,not available,none,high if inferred from current float or index weights; do not use current/static maps,do not ingest until source acquired
sector_industry_pit,taxonomy,sector taxonomy readiness; TWSE MI_INDEX official industry diagnostic proxy,TWSE MI_INDEX by industry date route; TPEx sector/all-stock membership route remains locked; current repo sector/theme maps blocked,proxy,TWSE as-of trading date for official industry proxy; TPEx not proven,TWSE diagnostic only; TPEx accepted rows 0,"low for TWSE official date route, high for current/static maps; static maps excluded",diagnostic proxy only; not accepted PIT taxonomy
listing_board_industry_pit,listing/status,listing master completion package,TWSE listing/suspension/status event routes plus partial proxies; TPEx historical master incomplete,proxy,event dates/status snapshot dates available for partial official rows,"5,994 accepted event rows, 2,153 proxy source rows; master_ready=false",low for dated official event rows; medium for proxy carried-forward rows,partial listing board/status proxy candidate only
operating_cash_flow_quality,cashflow_quality,none in current t163sb04 full sweep,MOPS quarterly cash-flow statement route likely t163sb06; route asset observed in route-unlock raw inventory but not materialized,blocked,would need conservative quarter statutory available_date or exact filing timestamp crawler,none local accepted rows,medium until available_date policy and route parser are built,Radar source acquisition needed before Core contract
free_cash_flow_quality,cashflow_quality,none,derive from cash-flow statement operating cash flow and capex fields after cash-flow route materialized,blocked,depends on cash-flow statement route,none,medium until source acquisition,blocked; do not proxy from profitability
current_ratio,balance_sheet_quality,none in current summary sweep,MOPS balance sheet / financial ratio route likely t163sb05 or single-company detailed pages; route asset observed but not full-universe materialized,blocked,would need quarter available_date / filing timestamp policy,none local accepted rows,medium until full sweep and missingness audit,Radar source acquisition needed
debt_leverage_solvency,balance_sheet_quality,quarterly fundamentals full sweep,derive debt/leverage from total_liabilities / equity / total_assets where populated; detailed debt maturity/interest coverage needs balance sheet expansion,PIT-ready,available_date uses conservative statutory deadline; exact filing_date unavailable,"2015Q1-2026Q1, 79,046 rows, 1,970 symbols; profile missingness must be audited",low if conservative available_date is accepted by Core; medium if exact filing timestamps required,partial/full refreshed PIT contract candidate for broad leverage filters
inventory_risk,balance_sheet_quality,none in current summary sweep,MOPS balance sheet detailed route needed for inventory; likely t163sb05 expansion,blocked,not available,none,medium until detailed balance-sheet route acquired,blocked
receivable_risk,balance_sheet_quality,none in current summary sweep,MOPS balance sheet detailed route needed for accounts receivable; likely t163sb05 expansion,blocked,not available,none,medium until detailed balance-sheet route acquired,blocked
