ticker,report_period,field,value,available_date,available_date_quality,source_quality,source_url,source_hash,accepted_for_formal,human_review_required,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2493,2023Q1,operating_cash_flow,-85576.0,2023-05-15,conservative_statutory_deadline_proxy_diagnostic,official_period_specific_diagnostic_pit_proxy,https://mopsfin.twse.com.tw/compare/data,cd1c77f34ea52b57684bd397d906fb953cc89a9fc0529073b2133a7fe2bd3d97,False,True,0,False,False,False,False,False,False,False,True,False
2493,2023Q2,operating_cash_flow,225923.0,2023-08-14,conservative_statutory_deadline_proxy_diagnostic,official_period_specific_diagnostic_pit_proxy,https://mopsfin.twse.com.tw/compare/data,cd1c77f34ea52b57684bd397d906fb953cc89a9fc0529073b2133a7fe2bd3d97,False,True,0,False,False,False,False,False,False,False,True,False
2493,2023Q3,operating_cash_flow,221356.0,2023-11-14,conservative_statutory_deadline_proxy_diagnostic,official_period_specific_diagnostic_pit_proxy,https://mopsfin.twse.com.tw/compare/data,cd1c77f34ea52b57684bd397d906fb953cc89a9fc0529073b2133a7fe2bd3d97,False,True,0,False,False,False,False,False,False,False,True,False
2493,2023Q4,operating_cash_flow,452011.0,2024-03-31,conservative_statutory_deadline_proxy_diagnostic,official_period_specific_diagnostic_pit_proxy,https://mopsfin.twse.com.tw/compare/data,cd1c77f34ea52b57684bd397d906fb953cc89a9fc0529073b2133a7fe2bd3d97,False,True,0,False,False,False,False,False,False,False,True,False
2493,2024Q1,operating_cash_flow,-17076.0,2024-05-15,conservative_statutory_deadline_proxy_diagnostic,official_period_specific_diagnostic_pit_proxy,https://mopsfin.twse.com.tw/compare/data,cd1c77f34ea52b57684bd397d906fb953cc89a9fc0529073b2133a7fe2bd3d97,False,True,0,False,False,False,False,False,False,False,True,False
2493,2024Q2,operating_cash_flow,101841.0,2024-08-14,conservative_statutory_deadline_proxy_diagnostic,official_period_specific_diagnostic_pit_proxy,https://mopsfin.twse.com.tw/compare/data,cd1c77f34ea52b57684bd397d906fb953cc89a9fc0529073b2133a7fe2bd3d97,False,True,0,False,False,False,False,False,False,False,True,False
2493,2024Q3,operating_cash_flow,291577.0,2024-11-14,conservative_statutory_deadline_proxy_diagnostic,official_period_specific_diagnostic_pit_proxy,https://mopsfin.twse.com.tw/compare/data,cd1c77f34ea52b57684bd397d906fb953cc89a9fc0529073b2133a7fe2bd3d97,False,True,0,False,False,False,False,False,False,False,True,False
2493,2024Q4,operating_cash_flow,315985.0,2025-03-31,conservative_statutory_deadline_proxy_diagnostic,official_period_specific_diagnostic_pit_proxy,https://mopsfin.twse.com.tw/compare/data,cd1c77f34ea52b57684bd397d906fb953cc89a9fc0529073b2133a7fe2bd3d97,False,True,0,False,False,False,False,False,False,False,True,False
2493,2025Q1,operating_cash_flow,41228.0,2025-05-15,conservative_statutory_deadline_proxy_diagnostic,official_period_specific_diagnostic_pit_proxy,https://mopsfin.twse.com.tw/compare/data,cd1c77f34ea52b57684bd397d906fb953cc89a9fc0529073b2133a7fe2bd3d97,False,True,0,False,False,False,False,False,False,False,True,False
2493,2025Q2,operating_cash_flow,223826.0,2025-08-14,conservative_statutory_deadline_proxy_diagnostic,official_period_specific_diagnostic_pit_proxy,https://mopsfin.twse.com.tw/compare/data,cd1c77f34ea52b57684bd397d906fb953cc89a9fc0529073b2133a7fe2bd3d97,False,True,0,False,False,False,False,False,False,False,True,False
